step,wallclock_sec,split,loss,tokens_per_sec,lr
1,0.675128,train,16.221508,2426799.984038,2.00000000e-03
50,23.239282,train,7.564514,72610.745397,2.00000000e-03
100,46.253897,train,4590.061523,71189.545375,2.00000000e-03
150,69.183098,train,1619155.000000,71454.736912,2.00000000e-03
200,92.088745,train,10235322.000000,71528.210752,2.00000000e-03
200,95.273818,val,49009898599590.226562,,2.00000000e-03
250,118.163633,train,16444467183616.000000,62834.402800,2.00000000e-03
300,141.067739,train,1951397632.000000,71533.025126,2.00000000e-03
350,163.957015,train,51134853021696.000000,71579.373334,2.00000000e-03
400,186.850329,train,351021236224.000000,71566.746879,2.00000000e-03
400,190.034851,val,137458477004.799988,,2.00000000e-03
450,212.926733,train,20520785920.000000,62830.748406,2.00000000e-03
500,235.806165,train,102915336.000000,71610.167967,2.00000000e-03
550,258.680294,train,32164078034732250562560.000000,71626.773074,2.00000000e-03
600,281.542076,train,6600267725266594239719697022976.000000,71665.453621,2.00000000e-03
600,284.728637,val,1498412927317501959166849187840.000000,,2.00000000e-03
650,307.567204,train,nan,62954.540591,2.00000000e-03
700,329.956540,train,nan,73177.696154,2.00000000e-03
750,352.346504,train,nan,73175.643664,2.00000000e-03
800,374.735139,train,nan,73179.984108,2.00000000e-03
800,377.822842,val,nan,,2.00000000e-03
850,400.210680,train,nan,64312.669105,2.00000000e-03
900,422.600194,train,nan,73177.110941,2.00000000e-03
950,444.993155,train,nan,73165.848775,2.00000000e-03
1000,467.382768,train,nan,73176.792234,2.00000000e-03
1000,470.471290,val,nan,,2.00000000e-03
1050,492.858677,train,nan,64311.738004,2.00000000e-03
1100,515.246550,train,nan,73182.475616,2.00000000e-03
1150,537.636757,train,nan,73174.848101,2.00000000e-03
1200,560.026137,train,nan,73177.552772,2.00000000e-03
1200,563.113500,val,nan,,2.00000000e-03
1250,585.500016,train,nan,64316.863913,2.00000000e-03
1300,607.888850,train,nan,73179.334957,2.00000000e-03
1350,630.280393,train,nan,73170.480997,2.00000000e-03
1400,652.670465,train,nan,73175.290684,2.00000000e-03
1400,655.757105,val,nan,,2.00000000e-03
1450,678.145600,train,nan,64313.691724,2.00000000e-03
1500,700.533857,train,nan,73181.223216,2.00000000e-03
1550,722.921523,train,nan,73183.153659,2.00000000e-03
1600,745.309690,train,nan,73181.515465,2.00000000e-03
1600,748.395907,val,nan,,2.00000000e-03
1650,770.783091,train,nan,64318.069668,2.00000000e-03
1700,793.171985,train,nan,73179.139357,2.00000000e-03
1750,815.563525,train,nan,73170.494242,2.00000000e-03
1800,837.954202,train,nan,73173.310011,2.00000000e-03
1800,841.043001,val,nan,,2.00000000e-03
1850,863.431754,train,nan,64307.592610,2.00000000e-03
1900,885.821206,train,nan,73177.315882,2.00000000e-03
1950,908.212201,train,nan,73172.271408,2.00000000e-03
2000,930.601633,train,nan,73177.382117,2.00000000e-03
2000,933.689777,val,nan,,2.00000000e-03
2050,956.080039,train,nan,64305.436470,2.00000000e-03
2100,978.470944,train,nan,73172.565922,2.00000000e-03
2150,1000.861429,train,nan,73173.939576,2.00000000e-03
2200,1023.252086,train,nan,73173.379356,2.00000000e-03
2200,1026.339722,val,nan,,2.00000000e-03
2250,1048.728068,train,nan,64311.554435,2.00000000e-03
2300,1071.120946,train,nan,73166.119089,2.00000000e-03
2350,1093.508248,train,nan,73184.344552,2.00000000e-03
2400,1115.896931,train,nan,73179.828248,2.00000000e-03
2400,1118.986305,val,nan,,2.00000000e-03
2450,1141.374937,train,nan,64306.444416,2.00000000e-03
2500,1163.763649,train,nan,73179.735512,2.00000000e-03
2550,1186.151109,train,nan,73183.827039,2.00000000e-03
2600,1208.538088,train,nan,73185.399086,2.00000000e-03
2600,1211.624488,val,nan,,2.00000000e-03
2650,1234.012200,train,nan,64316.275198,2.00000000e-03
2700,1256.401199,train,nan,73178.797253,2.00000000e-03
2750,1278.790348,train,nan,73178.305534,2.00000000e-03
2800,1301.179444,train,nan,73178.478531,2.00000000e-03
2800,1304.265608,val,nan,,2.00000000e-03
2850,1326.652058,train,nan,64320.058088,2.00000000e-03
2900,1349.038305,train,nan,73187.792750,2.00000000e-03
2950,1371.427319,train,nan,73178.746600,2.00000000e-03
3000,1393.814328,train,nan,73185.300880,2.00000000e-03
3000,1396.901166,val,nan,,2.00000000e-03
