step,wallclock_sec,split,loss,tokens_per_sec,lr
1,0.715169,train,9.264090,2290927.954101,2.00000000e-03
50,23.904189,train,3.703331,70654.130250,2.00000000e-03
100,47.581097,train,3.364984,69198.223956,2.00000000e-03
150,71.261878,train,3.055839,69186.907635,2.00000000e-03
200,94.946390,train,2.792999,69176.007255,2.00000000e-03
200,98.040382,val,2.757923,,2.00000000e-03
250,121.724069,train,2.577935,61185.288562,2.00000000e-03
300,145.410769,train,2.416728,69169.618085,2.00000000e-03
350,169.093506,train,2.388321,69181.192708,2.00000000e-03
400,192.779106,train,2.242759,69172.831322,2.00000000e-03
400,195.872944,val,2.257536,,2.00000000e-03
450,219.560671,train,2.236919,61176.410079,2.00000000e-03
500,243.245702,train,2.181066,69174.492714,2.00000000e-03
550,266.925172,train,2.078112,69190.738314,2.00000000e-03
600,290.603706,train,2.130539,69193.471389,2.00000000e-03
600,293.696565,val,2.080899,,2.00000000e-03
650,317.374767,train,2.010075,61200.413516,2.00000000e-03
700,341.051200,train,2.057117,69199.614107,2.00000000e-03
750,364.727339,train,2.024341,69200.471916,2.00000000e-03
800,388.409314,train,1.981134,69183.417970,2.00000000e-03
800,391.502726,val,1.983168,,2.00000000e-03
850,415.181933,train,1.987267,61196.852427,2.00000000e-03
900,438.857921,train,2.000541,69200.914418,2.00000000e-03
950,462.534558,train,1.940833,69199.016231,2.00000000e-03
1000,486.213288,train,1.922944,69192.900791,2.00000000e-03
1000,489.306051,val,1.935650,,2.00000000e-03
1050,512.985787,train,1.890265,61197.125462,2.00000000e-03
1100,536.663397,train,1.907638,69196.173326,2.00000000e-03
1150,560.340273,train,1.917818,69198.318722,2.00000000e-03
1200,584.018125,train,1.926737,69195.464030,2.00000000e-03
1200,587.111884,val,1.877277,,2.00000000e-03
1250,610.794823,train,1.890218,61187.530923,2.00000000e-03
1300,634.476140,train,1.862874,69185.338983,2.00000000e-03
1350,658.151194,train,1.785749,69203.646206,2.00000000e-03
1400,681.821583,train,1.866745,69217.282587,2.00000000e-03
1400,684.913831,val,1.824870,,2.00000000e-03
1450,708.587466,train,1.869204,61212.252452,2.00000000e-03
1500,732.256205,train,1.855187,69222.106760,2.00000000e-03
1550,755.925894,train,1.745316,69219.329589,2.00000000e-03
1600,779.600130,train,1.797341,69206.035304,2.00000000e-03
1600,782.692376,val,1.812418,,2.00000000e-03
1650,806.367878,train,1.845195,61207.987792,2.00000000e-03
1700,830.043501,train,1.776014,69201.981323,2.00000000e-03
1750,853.721086,train,1.766535,69196.245789,2.00000000e-03
1800,877.395685,train,1.780549,69204.973152,2.00000000e-03
1800,880.488517,val,1.762330,,2.00000000e-03
1850,904.164056,train,1.779193,61206.564372,2.00000000e-03
1900,927.841525,train,1.773766,69196.583721,2.00000000e-03
1950,951.522423,train,1.756822,69186.567012,2.00000000e-03
2000,975.201730,train,1.725102,69191.214131,2.00000000e-03
2000,978.293809,val,1.755539,,2.00000000e-03
2050,1001.970172,train,1.760160,61206.399737,2.00000000e-03
2100,1025.649945,train,1.764549,69189.854274,2.00000000e-03
2150,1049.325690,train,1.791833,69201.621735,2.00000000e-03
2200,1073.005809,train,1.718985,69188.842079,2.00000000e-03
2200,1076.099427,val,1.724915,,2.00000000e-03
2250,1099.779178,train,1.735800,61195.137432,2.00000000e-03
2300,1123.459788,train,1.768835,69187.407083,2.00000000e-03
2350,1147.131800,train,1.762431,69212.536464,2.00000000e-03
2400,1170.806766,train,1.701823,69203.900580,2.00000000e-03
2400,1173.900286,val,1.708981,,2.00000000e-03
2450,1197.577604,train,1.734416,61200.924223,2.00000000e-03
2500,1221.249804,train,1.694160,69211.985766,2.00000000e-03
2550,1244.923747,train,1.754813,69206.891182,2.00000000e-03
2600,1268.601794,train,1.666291,69194.898275,2.00000000e-03
2600,1271.693855,val,1.700620,,2.00000000e-03
2650,1295.371959,train,1.702957,61202.459666,2.00000000e-03
2700,1319.053591,train,1.746788,69184.422344,2.00000000e-03
2750,1342.737555,train,1.687697,69177.610303,2.00000000e-03
2800,1366.419242,train,1.680362,69184.257965,2.00000000e-03
2800,1369.512272,val,1.673627,,2.00000000e-03
2850,1393.193653,train,1.708870,61192.757743,2.00000000e-03
2900,1416.874617,train,1.665596,69186.370580,2.00000000e-03
2950,1440.551276,train,1.665172,69198.952123,2.00000000e-03
3000,1464.233934,train,1.670229,69181.425326,2.00000000e-03
3000,1467.326222,val,1.666993,,2.00000000e-03
