step,wallclock_sec,split,loss,tokens_per_sec,lr
1,0.715473,train,9.268378,2289953.841883,2.00000000e-03
50,25.582078,train,5.916700,65887.562743,2.00000000e-03
100,50.958316,train,5.864906,64564.338648,2.00000000e-03
150,76.315328,train,5.840776,64613.292317,2.00000000e-03
200,101.651295,train,5.843556,64666.959410,2.00000000e-03
200,105.002903,val,5.823000,,2.00000000e-03
250,130.355365,train,5.799709,57079.015249,2.00000000e-03
300,155.711077,train,5.799472,64616.601673,2.00000000e-03
350,181.087359,train,5.769986,64564.227639,2.00000000e-03
400,206.466554,train,5.777276,64556.813990,2.00000000e-03
400,209.826446,val,5.767096,,2.00000000e-03
450,235.202377,train,5.782126,57015.942504,2.00000000e-03
500,260.576110,train,5.759845,64570.711656,2.00000000e-03
550,285.952467,train,5.713471,64564.034740,2.00000000e-03
600,311.338284,train,5.730602,64539.975692,2.00000000e-03
600,314.700617,val,5.700375,,2.00000000e-03
650,340.084339,train,5.655809,56995.645685,2.00000000e-03
700,365.471241,train,5.723866,64537.217236,2.00000000e-03
750,390.856319,train,5.647316,64541.854801,2.00000000e-03
800,416.248605,train,5.684044,64523.532092,2.00000000e-03
800,419.611774,val,5.680925,,2.00000000e-03
850,445.005193,train,5.690709,56974.770477,2.00000000e-03
900,470.378398,train,5.832047,64572.055578,2.00000000e-03
950,495.719476,train,5.828517,64653.919326,2.00000000e-03
1000,521.044723,train,5.808477,64694.333737,2.00000000e-03
1000,524.393070,val,5.807268,,2.00000000e-03
1050,549.728106,train,5.783407,57120.179550,2.00000000e-03
1100,575.057303,train,5.794681,64684.245795,2.00000000e-03
1150,600.381735,train,5.822062,64696.417972,2.00000000e-03
1200,625.738268,train,5.818778,64614.511035,2.00000000e-03
1200,629.096207,val,5.796527,,2.00000000e-03
1250,654.473894,train,5.773320,57016.332778,2.00000000e-03
1300,679.845420,train,5.818817,64576.327377,2.00000000e-03
1350,705.189800,train,5.782503,64645.495622,2.00000000e-03
1400,730.530150,train,5.821229,64655.777093,2.00000000e-03
1400,733.879143,val,5.806942,,2.00000000e-03
1450,759.224729,train,5.849290,57097.892228,2.00000000e-03
1500,784.564949,train,5.834019,64656.108023,2.00000000e-03
1550,809.900203,train,5.793458,64668.782631,2.00000000e-03
1600,835.243895,train,5.805456,64647.248910,2.00000000e-03
1600,838.597564,val,5.811184,,2.00000000e-03
1650,863.946973,train,5.829782,57080.986639,2.00000000e-03
1700,889.297188,train,5.801978,64630.614450,2.00000000e-03
1750,914.639119,train,5.805992,64651.744158,2.00000000e-03
1800,939.963702,train,5.803998,64696.029984,2.00000000e-03
1800,943.311255,val,5.804219,,2.00000000e-03
1850,968.635197,train,5.813845,57143.863696,2.00000000e-03
1900,993.959199,train,5.821846,64697.513741,2.00000000e-03
1950,1019.280996,train,5.789043,64703.150322,2.00000000e-03
2000,1044.601651,train,5.784594,64706.067377,2.00000000e-03
2000,1047.949559,val,5.805862,,2.00000000e-03
2050,1073.272758,train,5.808824,57144.636826,2.00000000e-03
2100,1098.594616,train,5.849297,64702.992535,2.00000000e-03
2150,1123.920316,train,5.839115,64693.176563,2.00000000e-03
2200,1149.244995,train,5.797747,64695.786962,2.00000000e-03
2200,1152.592973,val,5.808284,,2.00000000e-03
2250,1177.914915,train,5.821767,57147.001966,2.00000000e-03
2300,1203.240920,train,5.841049,64692.399453,2.00000000e-03
2350,1228.566340,train,5.820806,64693.891570,2.00000000e-03
2400,1253.893914,train,5.825424,64688.389350,2.00000000e-03
2400,1257.242236,val,5.803462,,2.00000000e-03
2450,1282.574534,train,5.851309,57125.683343,2.00000000e-03
2500,1307.901061,train,5.801173,64691.066351,2.00000000e-03
2550,1333.228703,train,5.850089,64688.215803,2.00000000e-03
2600,1358.561031,train,5.789098,64676.251847,2.00000000e-03
2600,1361.909499,val,5.810712,,2.00000000e-03
2650,1387.242994,train,5.820751,57123.007999,2.00000000e-03
2700,1412.566969,train,5.842957,64697.583179,2.00000000e-03
2750,1437.894120,train,5.787559,64689.469624,2.00000000e-03
2800,1463.223101,train,5.810165,64684.799253,2.00000000e-03
2800,1466.571132,val,5.804825,,2.00000000e-03
2850,1491.897596,train,5.825125,57137.885115,2.00000000e-03
2900,1517.223753,train,5.815131,64692.009078,2.00000000e-03
2950,1542.557815,train,5.805649,64671.823182,2.00000000e-03
3000,1567.887257,train,5.826830,64683.621720,2.00000000e-03
3000,1571.233294,val,5.809382,,2.00000000e-03
