step,wallclock_sec,split,loss,tokens_per_sec,lr
1,1.125810,train,9.267494,2182962.704133,2.50000000e-03
50,44.096603,train,3.413686,57192.335574,2.50000000e-03
100,87.902279,train,2.839682,56102.317901,2.50000000e-03
150,131.695875,train,2.495896,56117.794600,2.50000000e-03
200,175.493363,train,2.254313,56112.807233,2.50000000e-03
200,180.544445,val,2.281774,,2.50000000e-03
250,224.339408,train,2.160093,50313.182472,2.50000000e-03
300,268.135030,train,2.057470,56115.198468,2.50000000e-03
350,311.924861,train,2.009369,56122.619069,2.50000000e-03
400,355.728010,train,1.985267,56105.555353,2.50000000e-03
400,360.776822,val,1.960583,,2.50000000e-03
450,404.579092,train,1.892508,50307.994890,2.50000000e-03
500,448.378991,train,1.905348,56109.718908,2.50000000e-03
550,492.173016,train,1.895377,56117.244376,2.50000000e-03
600,535.976572,train,1.904165,56105.034379,2.50000000e-03
600,541.027407,val,1.838160,,2.50000000e-03
650,584.821941,train,1.820365,50313.878946,2.50000000e-03
700,628.620578,train,1.795552,56111.334654,2.50000000e-03
750,672.425852,train,1.730809,56102.833938,2.50000000e-03
800,716.216368,train,1.769657,56121.740887,2.50000000e-03
800,721.261800,val,1.764496,,2.50000000e-03
850,765.055418,train,1.717551,50320.388813,2.50000000e-03
900,808.853361,train,1.698901,56112.225340,2.50000000e-03
950,852.639300,train,1.718238,56127.606652,2.50000000e-03
1000,896.427258,train,1.708393,56125.020002,2.50000000e-03
1000,901.475155,val,1.704361,,2.50000000e-03
1050,945.278014,train,1.705887,50308.330776,2.50000000e-03
1100,989.071027,train,1.770528,56118.541895,2.50000000e-03
1150,1032.862865,train,1.737979,56120.046323,2.50000000e-03
1200,1076.659022,train,1.724678,56114.512663,2.50000000e-03
1200,1081.712113,val,1.654745,,2.50000000e-03
1250,1125.512387,train,1.676430,50305.644305,2.50000000e-03
1300,1169.302544,train,1.684964,56122.200753,2.50000000e-03
1350,1213.097986,train,1.621338,56115.429110,2.50000000e-03
1400,1256.888482,train,1.641683,56121.766554,2.50000000e-03
1400,1261.936185,val,1.645489,,2.50000000e-03
1450,1305.727200,train,1.610703,50320.730760,2.50000000e-03
1500,1349.519930,train,1.617314,56118.904246,2.50000000e-03
1550,1393.314672,train,1.641659,56116.325730,2.50000000e-03
1600,1437.100549,train,1.653195,56127.686113,2.50000000e-03
1600,1442.142409,val,1.609995,,2.50000000e-03
1650,1485.933537,train,1.627733,50326.635978,2.50000000e-03
1700,1529.707819,train,1.629864,56142.553927,2.50000000e-03
1750,1573.459441,train,1.568127,56171.632424,2.50000000e-03
1800,1617.207447,train,1.584101,56176.274198,2.50000000e-03
1800,1622.249240,val,1.588375,,2.50000000e-03
1850,1666.016654,train,1.576349,50351.156123,2.50000000e-03
1900,1709.770401,train,1.617477,56168.904596,2.50000000e-03
1950,1753.520119,train,1.608968,56174.075819,2.50000000e-03
2000,1797.262041,train,1.598736,56184.088242,2.50000000e-03
2000,1802.305984,val,1.577794,,2.50000000e-03
2050,1846.051045,train,1.528587,50372.005864,2.50000000e-03
2100,1889.796940,train,1.552163,56178.984984,2.50000000e-03
2150,1933.537689,train,1.591761,56185.594655,2.50000000e-03
2200,1977.273123,train,1.592534,56192.423372,2.50000000e-03
2200,1982.312847,val,1.573618,,2.50000000e-03
2250,2026.065160,train,1.552710,50368.874484,2.50000000e-03
2300,2069.811100,train,1.574791,56178.927423,2.50000000e-03
2350,2113.555355,train,1.546187,56181.092500,2.50000000e-03
2400,2157.297064,train,1.551974,56184.361099,2.50000000e-03
2400,2162.342412,val,1.538622,,2.50000000e-03
2450,2206.085612,train,1.546646,50372.477254,2.50000000e-03
2500,2249.823919,train,1.520912,56188.732075,2.50000000e-03
2550,2293.571345,train,1.553191,56177.019378,2.50000000e-03
2600,2337.317057,train,1.529774,56179.220438,2.50000000e-03
2600,2342.358894,val,1.546343,,2.50000000e-03
2650,2386.106091,train,1.547760,50371.975095,2.50000000e-03
2700,2429.855009,train,1.496929,56175.103504,2.50000000e-03
2750,2473.606969,train,1.485256,56171.196848,2.50000000e-03
2800,2517.355835,train,1.558987,56175.170548,2.50000000e-03
2800,2522.399887,val,1.539238,,2.50000000e-03
2850,2566.188110,train,1.474129,50327.370419,2.50000000e-03
2900,2609.954308,train,1.494895,56152.924942,2.50000000e-03
2950,2653.710253,train,1.532781,56166.082466,2.50000000e-03
3000,2697.473900,train,1.537015,56156.197301,2.50000000e-03
3000,2702.521003,val,1.520262,,2.50000000e-03
