step,wallclock_sec,split,loss,tokens_per_sec,lr
1,0.288141,train,9.259089,355382.433797,5.00000000e-04
50,2.208892,train,4.353535,53312.471129,5.00000000e-04
100,4.161697,train,3.930912,52437.409414,5.00000000e-04
150,6.114656,train,3.877504,52433.248377,5.00000000e-04
200,8.066566,train,3.711195,52461.441109,5.00000000e-04
200,8.300964,val,3.509384,,5.00000000e-04
250,10.255603,train,3.238706,46778.553716,5.00000000e-04
300,12.212983,train,3.452453,52314.821127,5.00000000e-04
350,14.167731,train,2.952098,52385.290537,5.00000000e-04
400,16.120394,train,3.074706,52441.199732,5.00000000e-04
400,16.354354,val,3.052678,,5.00000000e-04
450,18.305404,train,3.074344,46864.764783,5.00000000e-04
500,20.257023,train,2.789014,52469.253590,5.00000000e-04
550,22.208822,train,2.961082,52464.427394,5.00000000e-04
600,24.161422,train,2.691080,52442.902993,5.00000000e-04
600,24.395298,val,2.930407,,5.00000000e-04
650,26.345889,train,2.705556,46876.426861,5.00000000e-04
700,28.300125,train,2.806350,52398.992956,5.00000000e-04
750,30.252503,train,2.992711,52448.852467,5.00000000e-04
800,32.204009,train,2.881664,52472.304870,5.00000000e-04
800,32.437902,val,2.776466,,5.00000000e-04
850,34.389527,train,3.316053,46853.880300,5.00000000e-04
900,36.343671,train,2.853735,52401.441484,5.00000000e-04
950,38.298894,train,2.680329,52372.540435,5.00000000e-04
1000,40.253803,train,2.536328,52380.971671,5.00000000e-04
1000,40.487529,val,2.648547,,5.00000000e-04
1050,42.439776,train,2.530226,46844.129971,5.00000000e-04
1100,44.393755,train,2.596680,52405.866036,5.00000000e-04
1150,46.353242,train,2.767244,52258.589589,5.00000000e-04
1200,48.310269,train,2.678546,52324.260063,5.00000000e-04
1200,48.544608,val,2.631298,,5.00000000e-04
1250,50.497169,train,2.604412,46824.273932,5.00000000e-04
1300,52.451221,train,2.414120,52403.928604,5.00000000e-04
1350,54.407267,train,2.893784,52350.504299,5.00000000e-04
1400,56.363402,train,2.328785,52348.137093,5.00000000e-04
1400,56.597178,val,2.572440,,5.00000000e-04
1450,58.551016,train,2.715987,46808.979720,5.00000000e-04
1500,60.506776,train,2.545105,52358.162499,5.00000000e-04
1550,62.461869,train,2.573179,52376.014798,5.00000000e-04
1600,64.413510,train,2.404791,52468.689526,5.00000000e-04
1600,64.647158,val,2.517713,,5.00000000e-04
1650,66.598068,train,2.300444,46874.467431,5.00000000e-04
1700,68.550126,train,2.683976,52457.462061,5.00000000e-04
1750,70.502905,train,2.382669,52438.075241,5.00000000e-04
1800,72.455637,train,2.764766,52439.362127,5.00000000e-04
1800,72.689162,val,2.438889,,5.00000000e-04
1850,74.642312,train,2.463264,46829.078081,5.00000000e-04
1900,76.596476,train,2.277865,52400.930023,5.00000000e-04
1950,78.553071,train,2.473250,52335.813213,5.00000000e-04
2000,80.509562,train,2.117624,52338.613005,5.00000000e-04
2000,80.743831,val,2.434885,,5.00000000e-04
2050,82.700658,train,2.545529,46734.605874,5.00000000e-04
2100,84.658335,train,2.567241,52306.869826,5.00000000e-04
2150,86.612800,train,2.214186,52392.875832,5.00000000e-04
2200,88.567673,train,2.713879,52381.897995,5.00000000e-04
2200,88.801324,val,2.418502,,5.00000000e-04
2250,90.755318,train,2.416596,46808.342040,5.00000000e-04
2300,92.709608,train,2.233296,52397.529063,5.00000000e-04
2350,94.662745,train,2.511186,52428.486402,5.00000000e-04
2400,96.615768,train,2.507024,52431.526542,5.00000000e-04
2400,96.849597,val,2.455471,,5.00000000e-04
2450,98.803291,train,2.381213,46810.938781,5.00000000e-04
2500,100.755277,train,2.353148,52459.397046,5.00000000e-04
2550,102.709403,train,2.431852,52401.952955,5.00000000e-04
2600,104.660949,train,2.388726,52471.215086,5.00000000e-04
2600,104.894637,val,2.362118,,5.00000000e-04
2650,106.845492,train,2.179510,46874.789728,5.00000000e-04
2700,108.797829,train,2.476668,52449.973347,5.00000000e-04
2750,110.751477,train,2.484525,52414.768556,5.00000000e-04
2800,112.710057,train,2.383623,52282.750383,5.00000000e-04
2800,112.943981,val,2.332778,,5.00000000e-04
2850,114.902909,train,2.365232,46697.192722,5.00000000e-04
2900,116.860456,train,2.212027,52310.373707,5.00000000e-04
2950,118.816849,train,2.432031,52341.221738,5.00000000e-04
3000,120.773385,train,2.292318,52337.375702,5.00000000e-04
3000,121.007722,val,2.303154,,5.00000000e-04
