step,wallclock_sec,split,loss,tokens_per_sec,lr
1,0.709478,train,9.266867,923722.133019,1.00000000e+00
20,10.243447,train,144.428421,68739.474768,1.00000000e+00
40,20.317828,train,54.772232,65052.134979,1.00000000e+00
60,30.415249,train,64.461014,64903.700560,1.00000000e+00
80,40.507144,train,35.316597,64939.237112,1.00000000e+00
100,50.587616,train,36.760521,65012.831888,1.00000000e+00
100,53.922201,val,33.220288,,1.00000000e+00
120,64.015653,train,40.677124,48805.345999,1.00000000e+00
140,74.121973,train,44.918819,64846.553609,1.00000000e+00
160,84.237461,train,40.317879,64787.777037,1.00000000e+00
180,94.353077,train,45.152374,64786.957034,1.00000000e+00
200,104.462221,train,31.762241,64828.436690,1.00000000e+00
200,107.813347,val,43.457687,,1.00000000e+00
220,117.913605,train,55.057701,48720.636978,1.00000000e+00
240,128.015096,train,55.749084,64877.551409,1.00000000e+00
260,138.110561,train,36.812119,64916.277119,1.00000000e+00
280,148.196253,train,55.338898,64979.182402,1.00000000e+00
300,158.281454,train,47.634621,64982.342234,1.00000000e+00
300,161.641491,val,40.082821,,1.00000000e+00
320,171.736419,train,40.724358,48707.672540,1.00000000e+00
340,181.811279,train,27.537138,65049.042245,1.00000000e+00
360,191.872934,train,80.466904,65134.411940,1.00000000e+00
380,201.921668,train,62.521538,65218.164570,1.00000000e+00
400,211.978914,train,26.600805,65162.972903,1.00000000e+00
400,215.330203,val,36.204504,,1.00000000e+00
420,225.383864,train,45.113274,48889.402278,1.00000000e+00
440,235.436815,train,73.390701,65190.805973,1.00000000e+00
460,245.507741,train,71.219345,65074.453252,1.00000000e+00
480,255.567334,train,32.182709,65147.765169,1.00000000e+00
500,265.617713,train,48.702129,65207.489388,1.00000000e+00
500,268.972982,val,69.153574,,1.00000000e+00
520,279.030162,train,58.292484,48862.067924,1.00000000e+00
540,289.087724,train,16.065063,65160.924611,1.00000000e+00
560,299.143090,train,103.172112,65175.152548,1.00000000e+00
580,309.185441,train,122.833214,65259.614291,1.00000000e+00
600,319.230652,train,39.853310,65241.039790,1.00000000e+00
600,322.575875,val,23.936545,,1.00000000e+00
620,332.638024,train,32.782845,48880.571954,1.00000000e+00
640,342.670569,train,73.007431,65323.402842,1.00000000e+00
660,352.685729,train,47.644760,65436.797267,1.00000000e+00
680,362.715928,train,68.201309,65338.688037,1.00000000e+00
700,372.725523,train,58.824562,65473.179026,1.00000000e+00
700,376.054522,val,58.201557,,1.00000000e+00
720,386.067811,train,45.237263,49119.010730,1.00000000e+00
740,396.107173,train,24.182497,65279.044259,1.00000000e+00
760,406.136547,train,33.056591,65344.063778,1.00000000e+00
780,416.143891,train,135.832489,65487.902513,1.00000000e+00
800,426.164996,train,27.026817,65397.980347,1.00000000e+00
800,429.499678,val,25.184417,,1.00000000e+00
820,439.531804,train,60.953468,49028.908252,1.00000000e+00
840,449.535913,train,33.548450,65509.076690,1.00000000e+00
860,459.543729,train,61.009796,65484.819688,1.00000000e+00
880,469.546673,train,28.665503,65516.713490,1.00000000e+00
900,479.575647,train,30.862642,65346.661101,1.00000000e+00
900,482.906192,val,21.831630,,1.00000000e+00
920,492.930075,train,95.829697,49074.361890,1.00000000e+00
940,502.926880,train,56.073853,65556.944191,1.00000000e+00
960,512.925814,train,53.393394,65542.983557,1.00000000e+00
980,522.923339,train,85.431419,65552.224328,1.00000000e+00
1000,532.922235,train,42.519897,65543.239862,1.00000000e+00
1000,536.244756,val,89.852484,,1.00000000e+00
