step,wallclock_sec,split,loss,tokens_per_sec,lr
1,0.710455,train,9.266867,922450.872587,8.00000000e-02
20,10.267442,train,10.728150,68573.918308,8.00000000e-02
40,20.345126,train,6.203370,65030.812023,8.00000000e-02
60,30.439926,train,5.860586,64920.551652,8.00000000e-02
80,40.546598,train,5.723258,64844.295706,8.00000000e-02
100,50.648050,train,5.338511,64877.801005,8.00000000e-02
100,53.999640,val,5.279082,,8.00000000e-02
120,64.112337,train,4.929543,48673.947453,8.00000000e-02
140,74.237948,train,4.774144,64723.005875,8.00000000e-02
160,84.367457,train,4.554686,64698.106105,8.00000000e-02
180,94.500530,train,4.381219,64675.340622,8.00000000e-02
200,104.639791,train,4.309525,64635.878863,8.00000000e-02
200,108.007071,val,4.310661,,8.00000000e-02
220,118.150274,train,4.321959,48507.518104,8.00000000e-02
240,128.293757,train,4.316771,64608.968550,8.00000000e-02
260,138.440918,train,4.348814,64585.555541,8.00000000e-02
280,148.589862,train,4.387684,64574.205059,8.00000000e-02
300,158.741671,train,4.866812,64555.979205,8.00000000e-02
300,162.109505,val,4.581724,,8.00000000e-02
320,172.247770,train,4.412482,48523.265218,8.00000000e-02
340,182.390486,train,4.335394,64613.857320,8.00000000e-02
360,192.531369,train,4.305351,64625.534739,8.00000000e-02
380,202.674651,train,4.318186,64610.253318,8.00000000e-02
400,212.816932,train,4.245514,64616.624762,8.00000000e-02
400,216.185657,val,4.308284,,8.00000000e-02
420,226.331373,train,4.522738,48493.310807,8.00000000e-02
440,236.474380,train,4.153246,64612.005909,8.00000000e-02
460,246.622560,train,4.426651,64579.067329,8.00000000e-02
480,256.766427,train,4.719101,64606.528239,8.00000000e-02
500,266.914401,train,4.446592,64580.376702,8.00000000e-02
500,270.285529,val,4.425705,,8.00000000e-02
520,280.436132,train,4.427506,48467.165202,8.00000000e-02
540,290.584366,train,4.453154,64578.724443,8.00000000e-02
560,300.734345,train,4.257406,64567.620544,8.00000000e-02
580,310.882444,train,4.526318,64579.586217,8.00000000e-02
600,321.032369,train,4.346018,64567.966346,8.00000000e-02
600,324.401608,val,4.453821,,8.00000000e-02
620,334.552598,train,4.700490,48472.550542,8.00000000e-02
640,344.700119,train,4.375558,64583.261151,8.00000000e-02
660,354.852486,train,4.842334,64552.434715,8.00000000e-02
680,365.001819,train,4.703628,64571.729452,8.00000000e-02
700,375.150753,train,4.697148,64574.271806,8.00000000e-02
700,378.518540,val,4.654115,,8.00000000e-02
720,388.666869,train,4.486012,48487.299900,8.00000000e-02
740,398.815041,train,4.482561,64579.123466,8.00000000e-02
760,408.963935,train,4.225868,64574.523626,8.00000000e-02
780,419.112855,train,4.356509,64574.355240,8.00000000e-02
800,429.262140,train,4.541264,64572.035859,8.00000000e-02
800,432.632566,val,4.560578,,8.00000000e-02
820,442.781358,train,4.587524,48476.176769,8.00000000e-02
840,452.929855,train,4.459815,64577.052546,8.00000000e-02
860,463.079526,train,4.509395,64569.577102,8.00000000e-02
880,473.231249,train,4.610310,64556.532593,8.00000000e-02
900,483.381541,train,4.692624,64565.627708,8.00000000e-02
900,486.751223,val,4.682711,,8.00000000e-02
920,496.901123,train,4.715493,48474.873932,8.00000000e-02
940,507.047158,train,4.513694,64592.715937,8.00000000e-02
960,517.193850,train,4.382658,64588.539099,8.00000000e-02
980,527.344124,train,4.245610,64565.747517,8.00000000e-02
1000,537.495129,train,4.556451,64561.093477,8.00000000e-02
1000,540.865634,val,4.475010,,8.00000000e-02
