step,wallclock_sec,split,loss,tokens_per_sec,lr
1,13.047949,train,10.818089,188351.447078,1.41400000e-05
100,35.790772,train,6.440545,108060.465411,1.41400000e-03
200,58.767420,train,5.692467,106960.770110,1.41400000e-03
300,83.031888,train,5.321500,101283.905216,1.41400000e-03
400,108.061390,train,5.064855,98188.129550,1.41400000e-03
500,132.972942,train,4.950489,98653.024816,1.41400000e-03
600,157.706064,train,4.670558,99364.731893,1.41400000e-03
700,182.280761,train,4.617996,100005.300189,1.41400000e-03
800,206.812522,train,4.442550,100180.333850,1.41400000e-03
900,231.640763,train,4.448155,98984.057563,1.41400000e-03
1000,256.032600,train,4.205690,100755.016519,1.41400000e-03
1000,264.044793,val,4.337570,,1.41400000e-03
1100,288.308561,train,4.309597,76143.357097,1.41400000e-03
1200,312.462776,train,4.231733,101746.217559,1.41400000e-03
1300,336.587466,train,4.292933,101870.737822,1.41400000e-03
1400,360.591050,train,4.158058,102384.709925,1.41400000e-03
1500,384.515961,train,4.216948,102721.388230,1.41400000e-03
1600,408.420482,train,4.073966,102809.004254,1.41400000e-03
