step,wallclock_sec,split,loss,tokens_per_sec,lr
1,13.161930,train,10.818089,186720.345559,1.41400000e-05
100,36.008359,train,6.440050,107570.422225,1.41400000e-03
200,59.077980,train,5.692187,106529.708088,1.41400000e-03
300,82.179329,train,5.323048,106383.398350,1.41400000e-03
400,105.300653,train,5.064966,106291.489537,1.41400000e-03
500,128.435936,train,4.954710,106227.357382,1.41400000e-03
600,151.580456,train,4.676592,106184.966085,1.41400000e-03
700,174.719510,train,4.612727,106210.042885,1.41400000e-03
800,197.870043,train,4.441097,106157.386531,1.41400000e-03
900,221.020509,train,4.452099,106157.689369,1.41400000e-03
1000,244.175956,train,4.212099,106134.854548,1.41400000e-03
1000,251.726200,val,4.337331,,1.41400000e-03
1100,274.803746,train,4.313067,80240.852603,1.41400000e-03
1200,297.846377,train,4.222634,106654.486811,1.41400000e-03
1300,320.894024,train,4.280097,106631.275638,1.41400000e-03
1400,343.970929,train,4.155489,106496.082266,1.41400000e-03
1500,367.070720,train,4.213936,106390.574937,1.41400000e-03
1600,390.191317,train,4.079242,106294.832560,1.41400000e-03
1700,414.139141,train,4.041461,102623.104663,1.41400000e-03
1800,438.024053,train,4.102671,102893.406076,1.41400000e-03
1900,461.932166,train,4.067375,102793.557974,1.41400000e-03
2000,485.778741,train,4.074201,103058.826976,1.41400000e-03
2000,488.696453,val,4.054406,,1.41400000e-03
2100,512.482042,train,4.114171,92033.564779,1.41400000e-03
2200,536.205360,train,4.186266,103594.276523,1.41400000e-03
2300,559.894932,train,3.985678,103741.848525,1.41400000e-03
2400,583.547798,train,3.914534,103902.841499,1.41400000e-03
2500,607.142453,train,3.867004,104159.185452,1.41400000e-03
2600,630.744122,train,4.046622,104128.227862,1.41400000e-03
2700,654.324902,train,4.027848,104220.474110,1.41400000e-03
2800,677.859129,train,3.860377,104426.625588,1.41400000e-03
2900,701.381305,train,3.849712,104480.130667,1.41400000e-03
3000,724.827386,train,3.875001,104819.224716,1.41400000e-03
3000,727.643549,val,3.899609,,1.41400000e-03
