step,wallclock_sec,split,loss,tokens_per_sec,lr
1,0.711426,train,9.266867,2302980.147905,4.00000000e-06
50,25.427707,train,5.872701,66288.290061,2.00000000e-04
100,50.706957,train,3.860030,64812.049036,4.00000000e-04
150,75.964861,train,3.247606,64866.824560,6.00000000e-04
200,101.257910,train,2.883524,64776.689369,8.00000000e-04
200,104.614362,val,2.849248,,8.00000000e-04
250,129.939442,train,2.649304,57123.866988,1.00000000e-03
300,155.268041,train,2.437227,64685.772851,1.20000000e-03
350,180.601823,train,2.414652,64672.539543,1.40000000e-03
400,205.945465,train,2.233187,64647.377841,1.60000000e-03
400,209.306362,val,2.254385,,1.60000000e-03
450,234.654343,train,2.223031,57069.453710,1.80000000e-03
500,260.006230,train,2.157692,64626.353699,2.00000000e-03
550,285.355389,train,2.041218,64633.306731,1.99987697e-03
600,310.705678,train,2.085465,64630.426017,1.99950793e-03
600,314.067427,val,2.034408,,1.99950793e-03
650,339.414560,train,1.953273,57069.448023,1.99889297e-03
700,364.746024,train,1.993331,64678.454840,1.99803226e-03
750,390.077131,train,1.954525,64679.370414,1.99692604e-03
800,415.415432,train,1.913906,64661.003626,1.99557461e-03
800,418.775962,val,1.913401,,1.99557461e-03
850,444.117798,train,1.920869,57082.402919,1.99397834e-03
900,469.460523,train,1.923579,64649.716931,1.99213766e-03
950,494.804430,train,1.865922,64646.699743,1.99005308e-03
1000,520.154242,train,1.839532,64631.645381,1.98772517e-03
1000,523.514998,val,1.843138,,1.98772517e-03
1050,549.125651,train,1.811139,56552.305356,1.98515457e-03
1100,574.492680,train,1.815152,64587.776035,1.98234197e-03
1150,599.855966,train,1.820561,64597.308046,1.97928815e-03
1200,625.223529,train,1.836455,64586.418711,1.97599394e-03
1200,628.586632,val,1.790330,,1.97599394e-03
1250,653.949873,train,1.794381,57034.754587,1.97246024e-03
1300,679.316012,train,1.771320,64590.043427,1.96868802e-03
1350,704.679697,train,1.703120,64596.292177,1.96467831e-03
1400,730.046970,train,1.764329,64587.153213,1.96043220e-03
1400,733.409696,val,1.732102,,1.96043220e-03
1450,758.779062,train,1.788577,57023.345376,1.95595086e-03
1500,784.115395,train,1.750746,64666.028975,1.95123552e-03
1550,809.405042,train,1.659056,64785.402599,1.94628745e-03
1600,834.682405,train,1.703134,64816.889418,1.94110802e-03
1600,838.031009,val,1.723237,,1.94110802e-03
1650,863.313305,train,1.757986,57224.884680,1.93569863e-03
1700,888.607060,train,1.686905,64774.883872,1.93006078e-03
1750,913.918440,train,1.678254,64729.777295,1.92419599e-03
1800,939.260228,train,1.689097,64652.106676,1.91810588e-03
1800,942.621594,val,1.668820,,1.91810588e-03
1850,967.973737,train,1.687306,57060.251190,1.91179211e-03
1900,993.328099,train,1.688353,64620.042621,1.90525640e-03
1950,1018.691502,train,1.661603,64597.011722,1.89850054e-03
2000,1044.052146,train,1.625637,64604.035576,1.89152638e-03
2000,1047.413662,val,1.662096,,1.89152638e-03
2050,1073.260371,train,1.667993,56093.789085,1.88433582e-03
2100,1098.599587,train,1.667586,64658.670411,1.87693083e-03
2150,1123.938907,train,1.697563,64658.403334,1.86931344e-03
2200,1149.275693,train,1.628479,64664.872205,1.86148573e-03
2200,1152.634341,val,1.630718,,1.86148573e-03
2250,1177.974098,train,1.649810,57090.281221,1.85344983e-03
2300,1203.313134,train,1.678067,64659.127914,1.84520795e-03
2350,1228.652735,train,1.671444,64657.688503,1.83676233e-03
2400,1253.988150,train,1.613202,64668.369415,1.82811529e-03
2400,1257.345797,val,1.616709,,1.82811529e-03
2450,1282.649986,train,1.636617,57163.121680,1.81926920e-03
2500,1307.951527,train,1.601137,64754.948275,1.81022646e-03
