step,wallclock_sec,split,loss,tokens_per_sec,lr
1,0.709574,train,9.266867,923596.742334,2.00000000e-03
20,10.303057,train,4.114205,68313.041465,2.00000000e-03
40,20.428353,train,3.565682,64725.023680,2.00000000e-03
60,30.572224,train,3.297076,64606.499387,2.00000000e-03
80,40.730266,train,3.080507,64516.370671,2.00000000e-03
100,50.868370,train,2.888405,64643.252611,2.00000000e-03
120,61.007173,train,2.663632,64638.791072,2.00000000e-03
140,71.151397,train,2.654539,64604.250578,2.00000000e-03
160,81.305415,train,2.432498,64541.941486,2.00000000e-03
180,91.467100,train,2.480514,64493.236557,2.00000000e-03
200,101.631535,train,2.420455,64475.792881,2.00000000e-03
200,105.003775,val,2.390412,,2.00000000e-03
220,115.427401,train,2.433182,47504.085601,2.00000000e-03
240,125.605967,train,2.310275,64386.280086,2.00000000e-03
260,135.787622,train,2.218200,64366.744812,2.00000000e-03
280,145.969620,train,2.238456,64364.580484,2.00000000e-03
300,156.154649,train,2.141173,64345.421377,2.00000000e-03
320,166.341325,train,2.108423,64335.022439,2.00000000e-03
340,176.528918,train,2.080650,64329.225795,2.00000000e-03
360,186.717020,train,2.137721,64326.017764,2.00000000e-03
380,196.907009,train,2.071572,64314.102225,2.00000000e-03
400,207.096155,train,2.030991,64319.425067,2.00000000e-03
400,210.476339,val,2.059583,,2.00000000e-03
420,221.194746,train,2.028533,46484.075083,2.00000000e-03
440,231.384175,train,2.049971,64317.638649,2.00000000e-03
460,241.575396,train,1.979423,64306.329478,2.00000000e-03
480,251.764358,train,2.015612,64320.586969,2.00000000e-03
500,261.953821,train,2.009731,64317.423442,2.00000000e-03
520,272.143478,train,1.958327,64316.198449,2.00000000e-03
540,282.333966,train,1.978055,64310.948363,2.00000000e-03
560,292.523251,train,1.953792,64318.550658,2.00000000e-03
580,302.715561,train,1.986050,64299.458046,2.00000000e-03
600,312.905321,train,1.971486,64315.543835,2.00000000e-03
600,316.283893,val,1.927782,,2.00000000e-03
620,327.011582,train,1.936568,46458.805245,2.00000000e-03
640,337.201228,train,1.914822,64316.267674,2.00000000e-03
660,347.390483,train,1.945933,64318.734267,2.00000000e-03
680,357.579244,train,1.897471,64321.852768,2.00000000e-03
700,367.769100,train,1.907983,64314.940397,2.00000000e-03
720,377.958722,train,1.897452,64316.422677,2.00000000e-03
740,388.147964,train,1.913963,64318.814031,2.00000000e-03
760,398.337403,train,1.889587,64317.576946,2.00000000e-03
780,408.526583,train,1.826705,64319.206839,2.00000000e-03
800,418.714471,train,1.844813,64327.368078,2.00000000e-03
800,422.095865,val,1.846880,,2.00000000e-03
820,432.746865,train,1.873061,46703.363091,2.00000000e-03
840,442.935586,train,1.850552,64322.105633,2.00000000e-03
860,453.124111,train,1.829305,64323.348913,2.00000000e-03
880,463.314608,train,1.800614,64310.892692,2.00000000e-03
900,473.504748,train,1.869591,64313.152723,2.00000000e-03
920,483.694362,train,1.801376,64316.466319,2.00000000e-03
940,493.884720,train,1.793412,64311.774416,2.00000000e-03
960,504.073679,train,1.784659,64320.605030,2.00000000e-03
980,514.262390,train,1.813635,64322.168849,2.00000000e-03
1000,524.451160,train,1.791456,64321.797078,2.00000000e-03
1000,527.831028,val,1.799078,,2.00000000e-03
1020,538.561815,train,1.819408,46444.336415,2.00000000e-03
1040,548.751983,train,1.809709,64312.973661,2.00000000e-03
1060,558.940908,train,1.787345,64320.821763,2.00000000e-03
1080,569.131594,train,1.882884,64309.702553,2.00000000e-03
1100,579.321869,train,1.781200,64312.299550,2.00000000e-03
1120,589.512078,train,1.768187,64312.710335,2.00000000e-03
1140,599.702880,train,1.757589,64308.974348,2.00000000e-03
1160,609.891718,train,1.777247,64321.366611,2.00000000e-03
1180,620.082560,train,1.822903,64308.720082,2.00000000e-03
1200,630.271966,train,1.806597,64317.786133,2.00000000e-03
1200,633.651648,val,1.760167,,2.00000000e-03
1220,644.363677,train,1.752417,46506.772523,2.00000000e-03
1240,654.552867,train,1.726564,64319.140618,2.00000000e-03
1260,664.741623,train,1.795126,64321.887386,2.00000000e-03
1280,674.930334,train,1.733435,64322.170354,2.00000000e-03
1300,685.120594,train,1.748622,64312.394346,2.00000000e-03
1320,695.311958,train,1.705826,64305.426842,2.00000000e-03
1340,705.503169,train,1.761374,64306.389655,2.00000000e-03
1360,715.695302,train,1.730749,64300.575606,2.00000000e-03
1380,725.886360,train,1.695621,64307.354001,2.00000000e-03
1400,736.078897,train,1.740062,64298.027685,2.00000000e-03
1400,739.457866,val,1.713743,,2.00000000e-03
1420,750.103235,train,1.679443,46730.191448,2.00000000e-03
1440,760.294619,train,1.680513,64305.297466,2.00000000e-03
1460,770.486634,train,1.749598,64301.315655,2.00000000e-03
1480,780.669072,train,1.716712,64361.796914,2.00000000e-03
1500,790.849262,train,1.737554,64376.006645,2.00000000e-03
1520,801.029216,train,1.711537,64377.503803,2.00000000e-03
1540,811.209339,train,1.746846,64376.433321,2.00000000e-03
1560,821.387922,train,1.698557,64386.171499,2.00000000e-03
1580,831.566223,train,1.690350,64387.957202,2.00000000e-03
