step,wallclock_sec,split,loss,tokens_per_sec,lr
1,0.701429,train,9.266867,2335805.006927,2.00000000e-05
50,25.454412,train,3.932273,66190.000707,1.00000000e-03
100,50.726812,train,3.045133,64829.618584,2.00000000e-03
150,76.005528,train,2.655406,64813.417083,1.99868007e-03
200,101.287383,train,2.444773,64805.372233,1.99472416e-03
200,104.637573,val,2.415272,,1.99472416e-03
250,129.890430,train,2.284699,57280.609478,1.98814387e-03
300,155.145859,train,2.150691,64873.182711,1.97895850e-03
350,180.406799,train,2.157513,64859.026611,1.96719499e-03
400,205.673636,train,2.038350,64843.888505,1.95288785e-03
400,209.025933,val,2.054937,,1.95288785e-03
450,234.292278,train,2.039479,57249.397859,1.93607905e-03
500,259.576382,train,2.001892,64799.606620,1.91681788e-03
550,284.865252,train,1.899311,64787.395588,1.89516084e-03
600,310.125751,train,1.960367,64860.159116,1.87117146e-03
600,313.475506,val,1.913879,,1.87117146e-03
650,338.733663,train,1.842338,57270.870031,1.84492010e-03
700,364.004812,train,1.889334,64832.824135,1.81648376e-03
750,389.288349,train,1.868296,64801.060301,1.78594585e-03
800,414.574881,train,1.826579,64793.385065,1.75339594e-03
800,417.931327,val,1.825589,,1.75339594e-03
850,443.237231,train,1.828999,57162.096041,1.71892951e-03
900,468.546223,train,1.837253,64735.884798,1.68264766e-03
950,493.853225,train,1.790364,64740.975467,1.64465679e-03
1000,519.136488,train,1.766143,64801.763640,1.60506836e-03
1000,522.488170,val,1.768665,,1.60506836e-03
1050,547.760136,train,1.738313,57239.385342,1.56399847e-03
1100,573.015746,train,1.750144,64872.714212,1.52156760e-03
1150,598.255810,train,1.750907,64912.671187,1.47790019e-03
1200,623.507478,train,1.759840,64882.843264,1.43312434e-03
1200,626.856580,val,1.719551,,1.43312434e-03
1250,652.114252,train,1.723346,57273.148255,1.38737138e-03
1300,677.384984,train,1.701389,64833.897004,1.34077550e-03
1350,702.658844,train,1.641092,64825.870919,1.29347340e-03
1400,727.948079,train,1.690031,64786.459851,1.24560380e-03
1400,731.303843,val,1.664236,,1.24560380e-03
1450,756.602071,train,1.715195,57178.768540,1.19730712e-03
1500,781.903740,train,1.681845,64754.622434,1.14872502e-03
1550,807.207131,train,1.589206,64750.212926,1.10000000e-03
1600,832.476613,train,1.624730,64837.102979,1.05127498e-03
1600,835.825377,val,1.647836,,1.05127498e-03
1650,861.073694,train,1.682528,57292.561797,1.00269288e-03
1700,886.324439,train,1.609522,64885.212903,9.54396203e-04
1750,911.583760,train,1.601740,64863.184018,9.06526604e-04
1800,936.851799,train,1.610829,64840.806057,8.59224495e-04
1800,940.202497,val,1.591798,,8.59224495e-04
1850,965.461362,train,1.602092,57267.564948,8.12628623e-04
1900,990.734726,train,1.599301,64827.144147,7.66875660e-04
