step,wallclock_sec,split,loss,tokens_per_sec,lr
1,0.897883,train,9.266867,1824737.724775,3.00000000e-04
50,30.075430,train,4.167310,56152.766641,3.00000000e-04
100,57.534202,train,3.495449,59667.636177,3.00000000e-04
150,84.043207,train,3.185683,61805.411085,3.00000000e-04
200,110.084013,train,2.969014,62916.639813,3.00000000e-04
200,113.555878,val,2.941560,,3.00000000e-04
250,139.352170,train,2.806807,55978.927077,3.00000000e-04
300,165.010995,train,2.652804,63853.274851,3.00000000e-04
350,190.601371,train,2.652788,64024.069298,3.00000000e-04
400,216.114934,train,2.502038,64216.822403,3.00000000e-04
400,219.483555,val,2.522041,,3.00000000e-04
450,244.962550,train,2.486379,56794.989335,3.00000000e-04
500,270.429788,train,2.434914,64333.635365,3.00000000e-04
550,295.895904,train,2.296162,64336.468602,3.00000000e-04
600,321.337684,train,2.351304,64398.009659,3.00000000e-04
600,324.710246,val,2.311443,,3.00000000e-04
650,350.141618,train,2.221770,56881.119365,3.00000000e-04
700,375.582196,train,2.259007,64401.051357,3.00000000e-04
750,401.012933,train,2.215880,64425.975735,3.00000000e-04
800,426.447902,train,2.173433,64415.252767,3.00000000e-04
800,429.818744,val,2.169515,,3.00000000e-04
850,455.240195,train,2.171044,56904.117468,3.00000000e-04
900,480.664081,train,2.167727,64443.335956,3.00000000e-04
950,506.092700,train,2.098743,64431.339766,3.00000000e-04
1000,531.515054,train,2.072518,64447.217820,3.00000000e-04
1000,534.887513,val,2.074185,,3.00000000e-04
1050,560.308898,train,2.034810,56901.051048,3.00000000e-04
1100,585.726615,train,2.041077,64458.975050,3.00000000e-04
1150,611.143551,train,2.047422,64460.957075,3.00000000e-04
1200,636.562517,train,2.050351,64455.809382,3.00000000e-04
1200,639.932176,val,2.000660,,3.00000000e-04
1250,665.346066,train,1.994617,56921.402182,3.00000000e-04
1300,690.761648,train,1.970305,64464.391746,3.00000000e-04
1350,716.183609,train,1.898365,64448.214500,3.00000000e-04
1400,741.604028,train,1.960697,64452.123550,3.00000000e-04
1400,744.974628,val,1.926717,,3.00000000e-04
1450,770.393771,train,1.981926,56909.157425,3.00000000e-04
1500,795.810645,train,1.959638,64461.111869,3.00000000e-04
1550,821.225347,train,1.858388,64466.624478,3.00000000e-04
1600,846.642192,train,1.889145,64461.186848,3.00000000e-04
1600,850.012556,val,1.907664,,3.00000000e-04
1650,875.427924,train,1.937687,56917.085558,3.00000000e-04
1700,900.846009,train,1.869580,64458.043334,3.00000000e-04
1750,926.261398,train,1.854522,64464.879160,3.00000000e-04
1800,951.675000,train,1.863650,64469.412587,3.00000000e-04
1800,955.045856,val,1.844530,,3.00000000e-04
1850,980.455673,train,1.854460,56927.092677,3.00000000e-04
1900,1005.866579,train,1.854575,64476.251430,3.00000000e-04
1950,1031.276103,train,1.829781,64479.760938,3.00000000e-04
2000,1056.691231,train,1.795910,64465.540749,3.00000000e-04
2000,1060.063536,val,1.830887,,3.00000000e-04
2050,1085.479358,train,1.835425,56912.351980,3.00000000e-04
2100,1110.890939,train,1.834454,64474.540071,3.00000000e-04
2150,1136.308690,train,1.866589,64458.888588,3.00000000e-04
2200,1161.724756,train,1.785114,64463.161753,3.00000000e-04
2200,1165.096684,val,1.794308,,3.00000000e-04
2250,1190.512444,train,1.805946,56913.220671,3.00000000e-04
2300,1215.924919,train,1.839449,64472.270498,3.00000000e-04
2350,1241.340661,train,1.831026,64463.984767,3.00000000e-04
2400,1266.757941,train,1.773699,64460.083348,3.00000000e-04
2400,1270.128834,val,1.772593,,3.00000000e-04
2450,1295.542361,train,1.792331,56919.682714,3.00000000e-04
2500,1320.953357,train,1.756705,64476.022760,3.00000000e-04
2550,1346.362717,train,1.809933,64480.175377,3.00000000e-04
2600,1371.773118,train,1.711696,64477.536370,3.00000000e-04
2600,1375.143873,val,1.754927,,3.00000000e-04
2650,1400.553690,train,1.761300,56927.289328,3.00000000e-04
2700,1425.964867,train,1.818468,64475.567239,3.00000000e-04
2750,1451.374767,train,1.749452,64478.805632,3.00000000e-04
2800,1476.785377,train,1.733974,64477.003392,3.00000000e-04
2800,1480.155945,val,1.725910,,3.00000000e-04
2850,1505.564666,train,1.754212,56929.829405,3.00000000e-04
2900,1530.975692,train,1.714391,64475.947747,3.00000000e-04
2950,1556.386349,train,1.708500,64476.883005,3.00000000e-04
3000,1581.786708,train,1.720237,64503.027363,3.00000000e-04
3000,1585.154017,val,1.717260,,3.00000000e-04
