step,wallclock_sec,split,loss,tokens_per_sec,lr
1,1.028488,train,10.384029,1194763.667317,2.45000000e-03
50,37.165258,train,6.834814,34004.146355,2.45000000e-03
100,75.344553,train,6.425745,32184.984182,2.45000000e-03
150,113.460893,train,6.086487,32238.142553,2.45000000e-03
200,150.803428,train,5.843650,32906.174577,2.45000000e-03
200,154.432029,val,5.907314,,2.45000000e-03
250,191.550747,train,5.870900,30156.585637,2.45000000e-03
300,230.209904,train,5.589360,31785.483744,2.45000000e-03
350,268.479020,train,5.524019,32109.442693,2.45000000e-03
400,306.705471,train,5.485558,32145.280631,2.45000000e-03
400,310.330611,val,5.425230,,2.45000000e-03
450,347.076962,train,5.397281,30437.320270,2.45000000e-03
500,385.856940,train,5.315858,31686.454837,2.45000000e-03
550,424.088794,train,5.310748,32140.737561,2.45000000e-03
600,462.092725,train,5.218582,32333.497251,2.45000000e-03
600,465.715950,val,5.170934,,2.45000000e-03
650,504.084453,train,5.175648,29262.906375,2.45000000e-03
700,542.587258,train,5.084119,31914.558115,2.45000000e-03
750,582.420294,train,4.974923,30848.765691,2.45000000e-03
800,622.205295,train,5.029493,30886.011694,2.45000000e-03
800,625.828695,val,5.049154,,2.45000000e-03
850,665.604720,train,5.104222,28313.739160,2.45000000e-03
900,705.444082,train,4.960495,30843.867318,2.45000000e-03
950,745.223622,train,4.917942,30890.251574,2.45000000e-03
1000,785.003874,train,4.898115,30889.698939,2.45000000e-03
1000,788.627409,val,4.909611,,2.45000000e-03
1050,828.468862,train,4.888370,28271.030161,2.45000000e-03
1100,868.240578,train,4.872209,30896.328344,2.45000000e-03
1150,908.007301,train,4.871850,30900.208128,2.45000000e-03
1200,947.830779,train,4.853300,30856.169648,2.45000000e-03
1200,951.458511,val,4.808784,,2.45000000e-03
1250,991.238530,train,4.780659,28308.308138,2.45000000e-03
1300,1031.007368,train,4.752316,30898.564404,2.45000000e-03
1350,1070.838075,train,4.781154,30850.569950,2.45000000e-03
1400,1110.596544,train,4.662701,30906.622791,2.45000000e-03
1400,1114.218977,val,4.737253,,2.45000000e-03
1450,1154.051745,train,4.716216,28277.397119,2.45000000e-03
1500,1193.912692,train,4.660515,30827.165512,2.45000000e-03
1550,1233.668909,train,4.709926,30908.373583,2.45000000e-03
1600,1273.428770,train,4.668523,30905.540646,2.45000000e-03
1600,1277.058879,val,4.668100,,2.45000000e-03
1650,1316.938962,train,4.685332,28241.658618,2.45000000e-03
1700,1356.769177,train,4.744590,30850.950919,2.45000000e-03
1750,1396.597185,train,4.679001,30852.660133,2.45000000e-03
1800,1436.436981,train,4.629421,30843.531192,2.45000000e-03
1800,1440.059746,val,4.626730,,2.45000000e-03
1850,1479.836654,train,4.651135,28313.577551,2.45000000e-03
1900,1519.653383,train,4.539091,30861.400122,2.45000000e-03
1950,1559.519040,train,4.666200,30823.523412,2.45000000e-03
2000,1599.302491,train,4.664879,30887.214455,2.45000000e-03
2000,1602.926314,val,4.575463,,2.45000000e-03
2050,1642.722106,train,4.619405,28300.573816,2.45000000e-03
2100,1682.579118,train,4.605579,30830.207984,2.45000000e-03
2150,1722.366806,train,4.553098,30883.926243,2.45000000e-03
2200,1762.134960,train,4.513770,30899.095682,2.45000000e-03
2200,1765.756806,val,4.559389,,2.45000000e-03
2250,1805.586173,train,4.548297,28279.992778,2.45000000e-03
2300,1845.350479,train,4.555359,30902.086223,2.45000000e-03
2350,1885.114646,train,4.649994,30902.193502,2.45000000e-03
2400,1924.943074,train,4.550792,30852.335451,2.45000000e-03
2400,1928.566917,val,4.517070,,2.45000000e-03
2450,1968.375242,train,4.451816,28292.393315,2.45000000e-03
2500,2008.163351,train,4.521459,30883.599052,2.45000000e-03
2550,2047.995916,train,4.543754,30849.130920,2.45000000e-03
2600,2087.765701,train,4.428125,30897.828832,2.45000000e-03
2600,2091.388036,val,4.509584,,2.45000000e-03
2650,2131.168009,train,4.519429,28311.857980,2.45000000e-03
2700,2171.026430,train,4.426144,30829.119013,2.45000000e-03
2750,2210.824686,train,4.491900,30875.725237,2.45000000e-03
2800,2250.596498,train,4.509419,30896.253148,2.45000000e-03
2800,2254.225570,val,4.465954,,2.45000000e-03
2850,2294.066566,train,4.445721,28267.726982,2.45000000e-03
2900,2333.859528,train,4.568319,30879.832226,2.45000000e-03
2950,2373.624473,train,4.455083,30901.589674,2.45000000e-03
3000,2413.449687,train,4.488294,30854.824671,2.45000000e-03
3000,2417.072873,val,4.458209,,2.45000000e-03
