step,wallclock_sec,split,loss,tokens_per_sec,lr
1,1.025419,train,10.384029,1198339.692875,4.90000000e-06
50,37.166490,train,7.962656,34000.099370,2.45000000e-04
100,75.335181,train,6.915389,32193.925310,4.90000000e-04
150,113.428445,train,6.344888,32257.671909,7.35000000e-04
200,150.783165,train,5.989590,32895.441014,9.80000000e-04
200,154.409117,val,6.070190,,9.80000000e-04
250,191.538485,train,5.986267,30150.665645,1.22500000e-03
300,230.201771,train,5.658359,31782.088718,1.47000000e-03
350,268.459928,train,5.578189,32118.641126,1.71500000e-03
400,306.668618,train,5.522832,32160.222495,1.96000000e-03
400,310.292936,val,5.477354,,1.96000000e-03
450,347.043586,train,5.460067,30434.699365,2.20500000e-03
500,385.810348,train,5.397067,31697.256516,2.45000000e-03
550,424.025337,train,5.403120,32154.922293,2.44984929e-03
600,462.047879,train,5.304854,32317.670720,2.44939722e-03
600,465.670793,val,5.254396,,2.44939722e-03
650,504.034854,train,5.246135,29266.218901,2.44864389e-03
700,542.535664,train,5.159747,31916.211907,2.44758952e-03
750,582.363333,train,5.043903,30852.922396,2.44623440e-03
800,622.142917,train,5.098113,30890.217508,2.44457890e-03
800,625.766966,val,5.115033,,2.44457890e-03
850,665.519832,train,5.152199,28328.432315,2.44262347e-03
900,705.349164,train,5.021259,30851.634767,2.44036864e-03
950,745.108775,train,4.970443,30905.734867,2.43781503e-03
1000,784.869016,train,4.956454,30905.245799,2.43496334e-03
1000,788.491735,val,4.957611,,2.43496334e-03
1050,828.900609,train,4.943328,27907.234494,2.43181435e-03
1100,868.661798,train,4.905511,30904.508612,2.42836891e-03
1150,908.424964,train,4.909216,30902.971899,2.42462798e-03
1200,948.250810,train,4.896681,30854.334626,2.42059257e-03
1200,951.874337,val,4.841507,,2.42059257e-03
1250,991.637787,train,4.805491,28321.862911,2.41626379e-03
1300,1031.412870,train,4.781627,30893.712981,2.41164282e-03
1350,1071.241917,train,4.808088,30851.855458,2.40673093e-03
1400,1111.013502,train,4.692617,30896.429842,2.40152945e-03
1400,1114.637161,val,4.761753,,2.40152945e-03
1450,1154.395941,train,4.729641,28324.825234,2.39603981e-03
1500,1194.214921,train,4.678273,30859.655202,2.39026351e-03
1550,1233.977959,train,4.725924,30903.071773,2.38420213e-03
1600,1273.744626,train,4.682394,30900.251479,2.37785732e-03
1600,1277.368484,val,4.681302,,2.37785732e-03
1650,1317.205375,train,4.689946,28273.787356,2.37123083e-03
1700,1356.984460,train,4.754825,30890.605196,2.36432445e-03
1750,1396.762043,train,4.673141,30891.771098,2.35714009e-03
1800,1436.589951,train,4.642484,30852.737888,2.34967970e-03
1800,1440.215422,val,4.639205,,2.34967970e-03
1850,1479.993791,train,4.656720,28310.859089,2.34194533e-03
1900,1519.767151,train,4.546825,30895.051535,2.33393909e-03
1950,1559.599216,train,4.674789,30849.518132,2.32566316e-03
2000,1599.363667,train,4.667127,30901.973387,2.31711981e-03
2000,1602.987552,val,4.585075,,2.31711981e-03
2050,1644.050417,train,4.620126,27498.083484,2.30831138e-03
2100,1683.897837,train,4.616738,30837.630342,2.29924027e-03
2150,1723.686961,train,4.560738,30882.810897,2.28990897e-03
2200,1763.488329,train,4.509771,30873.310503,2.28032002e-03
2200,1767.112073,val,4.559789,,2.28032002e-03
2250,1806.940269,train,4.554946,28279.520282,2.27047604e-03
2300,1846.712990,train,4.570848,30895.547874,2.26037974e-03
2350,1886.478226,train,4.647189,30901.362527,2.25003386e-03
2400,1926.311496,train,4.549549,30848.585295,2.23944124e-03
2400,1929.934500,val,4.513872,,2.23944124e-03
2450,1969.701528,train,4.445949,28319.868144,2.22860477e-03
2500,2009.467360,train,4.515908,30900.900461,2.21752741e-03
2550,2049.299039,train,4.536710,30849.816534,2.20621220e-03
2600,2089.071172,train,4.430995,30896.004224,2.19466222e-03
2600,2092.694050,val,4.501199,,2.19466222e-03
2650,2132.466027,train,4.526795,28316.720942,2.18288064e-03
2700,2172.283772,train,4.400557,30860.612362,2.17087068e-03
2750,2212.055856,train,4.485106,30896.042563,2.15863561e-03
2800,2251.816947,train,4.507996,30904.584590,2.14617879e-03
2800,2255.439872,val,4.457779,,2.14617879e-03
2850,2295.253996,train,4.445234,28289.214951,2.13350361e-03
2900,2335.007121,train,4.553929,30910.777121,2.12061355e-03
2950,2374.768619,train,4.455863,30904.268820,2.10751213e-03
3000,2414.603039,train,4.479066,30847.693502,2.09420293e-03
3000,2418.226458,val,4.447615,,2.09420293e-03
3050,2459.208970,train,4.396320,27547.906250,2.08068959e-03
3100,2498.990553,train,4.361114,30888.665000,2.06697580e-03
3150,2538.855424,train,4.464786,30824.131383,2.05306532e-03
3200,2578.653239,train,4.387625,30876.066319,2.03896194e-03
3200,2582.274934,val,4.443756,,2.03896194e-03
3250,2622.046048,train,4.409129,28318.056476,2.02466952e-03
3300,2661.880243,train,4.435592,30847.868533,2.01019196e-03
3350,2701.653715,train,4.414128,30894.963752,1.99553324e-03
3400,2741.432529,train,4.361125,30890.815708,1.98069735e-03
3400,2745.055285,val,4.402414,,1.98069735e-03
3450,2784.881276,train,4.346313,28281.598294,1.96568835e-03
3500,2824.656142,train,4.369072,30893.880942,1.95051034e-03
3550,2864.432313,train,4.400432,30892.868388,1.93516748e-03
3600,2904.263947,train,4.379507,30849.851434,1.91966396e-03
3600,2907.887946,val,4.398080,,1.91966396e-03
3650,2947.658080,train,4.426841,28317.192037,1.90400401e-03
3700,2987.435250,train,4.399512,30892.092722,1.88819191e-03
3750,3027.260262,train,4.324898,30854.981126,1.87223200e-03
3800,3067.044968,train,4.335249,30886.240097,1.85612863e-03
3800,3070.669940,val,4.366652,,1.85612863e-03
3850,3110.452186,train,4.431345,28308.655961,1.83988621e-03
3900,3150.268996,train,4.431040,30861.337477,1.82350917e-03
3950,3190.041170,train,4.293304,30895.972739,1.80700200e-03
4000,3229.819217,train,4.375889,30891.410783,1.79036921e-03
4000,3233.449737,val,4.348701,,1.79036921e-03
4050,3274.532492,train,4.269059,27481.771673,1.77361533e-03
4100,3314.306504,train,4.387081,30894.544841,1.75674497e-03
4150,3354.077905,train,4.419137,30896.572828,1.73976272e-03
4200,3393.905602,train,4.350626,30852.901525,1.72267322e-03
4200,3397.529218,val,4.329318,,1.72267322e-03
4250,3437.309523,train,4.324246,28310.805904,1.70548116e-03
4300,3477.086873,train,4.435578,30891.952369,1.68819124e-03
4350,3516.935955,train,4.313047,30836.343989,1.67080817e-03
4400,3556.729312,train,4.331348,30879.526213,1.65333671e-03
4400,3560.353235,val,4.310586,,1.65333671e-03
4450,3600.155777,train,4.358779,28296.109119,1.63578163e-03
4500,3639.994019,train,4.259391,30844.734523,1.61814775e-03
4550,3679.756915,train,4.364857,30903.182023,1.60043987e-03
4600,3719.518667,train,4.333473,30904.070541,1.58266284e-03
4600,3723.142156,val,4.301620,,1.58266284e-03
4650,3762.971679,train,4.384121,28278.822198,1.56482152e-03
4700,3802.742355,train,4.332927,30897.136823,1.54692079e-03
4750,3842.518875,train,4.289335,30892.596743,1.52896554e-03
4800,3882.355985,train,4.324292,30845.610637,1.51096067e-03
4800,3885.977754,val,4.305628,,1.51096067e-03
4850,3925.751507,train,4.283195,28316.285801,1.49291112e-03
4900,3965.544532,train,4.340822,30879.783752,1.47482181e-03
4950,4005.389955,train,4.311247,30839.176064,1.45669770e-03
5000,4045.162617,train,4.278993,30895.593435,1.43854373e-03
5000,4048.787735,val,4.260072,,1.43854373e-03
5050,4089.766827,train,4.270172,27548.968652,1.42036487e-03
5100,4129.607415,train,4.256484,30842.918210,1.40216609e-03
5150,4169.388821,train,4.286257,30888.802731,1.38395236e-03
