step,wallclock_sec,split,loss,tokens_per_sec,lr
1,6.741061,train,10.890918,182285.858559,4.90000000e-06
50,20.533275,train,7.594507,89093.747288,2.45000000e-04
100,34.587555,train,7.027804,87432.435794,4.90000000e-04
150,48.645262,train,6.505912,87411.131640,7.35000000e-04
200,62.702363,train,6.136487,87414.894367,9.80000000e-04
250,76.773934,train,5.950510,87324.999304,1.22500000e-03
300,90.832558,train,5.727000,87405.425900,1.47000000e-03
350,104.889881,train,5.722286,87413.515552,1.71500000e-03
400,118.944840,train,5.663444,87428.214769,1.96000000e-03
450,133.009883,train,5.424209,87365.533228,2.20500000e-03
500,147.069323,train,5.459381,87400.352287,2.45000000e-03
500,151.835947,val,5.391141,,2.45000000e-03
550,165.891053,train,5.310425,65286.242136,2.44995004e-03
600,179.946588,train,5.296758,87424.633298,2.44980017e-03
650,194.013986,train,5.215906,87350.911336,2.44955039e-03
700,208.072279,train,5.095175,87407.480414,2.44920074e-03
750,222.130795,train,5.001282,87406.097387,2.44875124e-03
800,236.187408,train,4.969070,87417.924946,2.44820194e-03
850,250.254204,train,4.989753,87354.652594,2.44755288e-03
900,264.311447,train,4.883348,87414.010734,2.44680412e-03
950,278.367484,train,4.780066,87421.511799,2.44595573e-03
1000,292.429495,train,4.719741,87384.367513,2.44500779e-03
1000,294.619507,val,4.756241,,2.44500779e-03
1050,309.057595,train,4.811909,73899.002654,2.44396039e-03
1100,323.117308,train,4.800550,87398.653803,2.44281361e-03
1150,337.175125,train,4.690189,87410.442286,2.44156757e-03
1200,351.233897,train,4.656209,87404.506885,2.44022237e-03
1250,365.302431,train,4.707901,87343.856081,2.43877814e-03
1300,379.360453,train,4.647103,87409.165899,2.43723501e-03
1350,393.417798,train,4.600001,87413.376190,2.43559311e-03
1400,407.473439,train,4.583044,87423.973390,2.43385260e-03
1450,421.531214,train,4.537952,87410.703202,2.43201364e-03
1500,435.600656,train,4.544357,87338.224241,2.43007639e-03
1500,437.664744,val,4.535038,,2.43007639e-03
1550,451.723150,train,4.566946,76216.493863,2.42804102e-03
1600,465.779602,train,4.567161,87418.931726,2.42590773e-03
1650,479.836188,train,4.593783,87418.098425,2.42367670e-03
1700,493.903028,train,4.544603,87354.372765,2.42134814e-03
1750,507.961426,train,4.467922,87406.831142,2.41892225e-03
1800,522.016658,train,4.397643,87426.513719,2.41639927e-03
1850,536.073446,train,4.484960,87416.842572,2.41377941e-03
1900,550.146207,train,4.445234,87317.618344,2.41106291e-03
1950,564.201372,train,4.543599,87426.939346,2.40825002e-03
2000,578.257907,train,4.466678,87418.411282,2.40534100e-03
2000,580.321200,val,4.453720,,2.40534100e-03
2050,595.207537,train,4.385229,72497.156641,2.40233611e-03
2100,609.275976,train,4.412073,87344.445209,2.39923562e-03
2150,623.336254,train,4.393478,87395.142923,2.39603981e-03
2200,637.391654,train,4.447340,87425.474138,2.39274897e-03
2250,651.449021,train,4.428632,87413.239794,2.38936340e-03
