step,wallclock_sec,split,loss,tokens_per_sec,lr
1,0.611630,train,10.383609,1339371.401552,3.00000000e-03
50,19.389332,train,7.082986,43626.213556,3.00000000e-03
100,38.582545,train,6.633769,42681.752663,3.00000000e-03
150,57.778312,train,6.345155,42676.076633,3.00000000e-03
200,76.968525,train,6.065519,42688.425665,3.00000000e-03
200,79.407192,val,6.173142,,3.00000000e-03
250,98.590181,train,5.932750,37887.940697,3.00000000e-03
300,117.790512,train,5.973938,42665.931185,3.00000000e-03
350,136.984647,train,5.875373,42679.704092,3.00000000e-03
400,156.163784,train,5.717838,42713.077748,3.00000000e-03
400,158.600440,val,5.715072,,3.00000000e-03
450,177.780713,train,5.593011,37896.225501,3.00000000e-03
500,196.969455,train,5.472521,42691.699295,3.00000000e-03
550,216.150330,train,5.599159,42709.208903,3.00000000e-03
600,235.339698,train,5.456882,42690.305872,3.00000000e-03
600,237.778154,val,5.432400,,3.00000000e-03
650,256.970575,train,5.413195,37871.788941,3.00000000e-03
700,276.161271,train,5.224980,42687.351183,3.00000000e-03
750,295.356472,train,5.270751,42677.333425,3.00000000e-03
800,314.548874,train,5.341425,42683.558049,3.00000000e-03
800,316.984745,val,5.284156,,3.00000000e-03
850,336.167230,train,5.252643,37893.723715,3.00000000e-03
900,355.354328,train,5.222557,42695.358060,3.00000000e-03
950,374.540850,train,5.091277,42696.638802,3.00000000e-03
1000,393.733168,train,5.210800,42683.743633,3.00000000e-03
1000,396.172988,val,5.155500,,3.00000000e-03
1050,415.363471,train,5.113409,37872.793300,3.00000000e-03
1100,434.556132,train,5.033845,42682.983278,3.00000000e-03
1150,453.749159,train,5.031643,42682.166748,3.00000000e-03
1200,472.940078,train,5.089458,42686.855328,3.00000000e-03
1200,475.377380,val,5.079578,,3.00000000e-03
1250,494.564123,train,5.089419,37883.754961,3.00000000e-03
1300,513.768944,train,5.073208,42655.956838,3.00000000e-03
1350,532.958306,train,4.977926,42690.318072,3.00000000e-03
1400,552.148687,train,4.970387,42688.053886,3.00000000e-03
1400,554.584886,val,4.973092,,3.00000000e-03
1450,573.773915,train,4.820651,37881.680815,3.00000000e-03
1500,592.964864,train,4.810421,42686.790629,3.00000000e-03
1550,612.147360,train,4.882560,42705.599781,3.00000000e-03
1600,631.355444,train,4.894897,42648.708488,3.00000000e-03
1600,633.791704,val,4.895638,,3.00000000e-03
1650,652.992438,train,4.914124,37861.083265,3.00000000e-03
1700,672.180547,train,4.794086,42693.107132,3.00000000e-03
1750,691.373040,train,4.898385,42683.354438,3.00000000e-03
1800,710.562306,train,4.809667,42690.532887,3.00000000e-03
1800,712.997630,val,4.831052,,3.00000000e-03
1850,732.184452,train,4.830116,37887.081334,3.00000000e-03
1900,751.374516,train,4.820450,42688.758203,3.00000000e-03
1950,770.564220,train,4.771389,42689.560134,3.00000000e-03
2000,789.750810,train,4.796262,42696.487061,3.00000000e-03
2000,792.186447,val,4.786207,,3.00000000e-03
2050,811.373292,train,4.687723,37886.492294,3.00000000e-03
2100,830.563631,train,4.755242,42688.145637,3.00000000e-03
2150,849.750861,train,4.787199,42695.063617,3.00000000e-03
2200,868.939883,train,4.790694,42691.077097,3.00000000e-03
2200,871.374486,val,4.712818,,3.00000000e-03
2250,890.559715,train,4.676230,37891.135345,3.00000000e-03
2300,909.768160,train,4.761958,42647.909149,3.00000000e-03
2350,928.956043,train,4.714279,42693.608968,3.00000000e-03
2400,948.152468,train,4.777091,42674.612677,3.00000000e-03
2400,950.589260,val,4.693894,,3.00000000e-03
2450,969.775236,train,4.707358,37885.991416,3.00000000e-03
2500,988.972048,train,4.665749,42673.752478,3.00000000e-03
2550,1008.161299,train,4.603941,42690.567364,3.00000000e-03
2600,1027.350807,train,4.742223,42689.995587,3.00000000e-03
2600,1029.787503,val,4.689398,,3.00000000e-03
2650,1048.971478,train,4.716448,37889.664972,3.00000000e-03
2700,1068.160118,train,4.624864,42691.926855,3.00000000e-03
2750,1087.349759,train,4.592084,42689.699096,3.00000000e-03
2800,1106.534459,train,4.572449,42700.692694,3.00000000e-03
2800,1108.969279,val,4.663226,,3.00000000e-03
2850,1128.154522,train,4.767856,37890.732538,3.00000000e-03
2900,1147.345216,train,4.602086,42687.355426,3.00000000e-03
2950,1166.533165,train,4.661694,42693.465206,3.00000000e-03
3000,1185.718358,train,4.640661,42699.595838,3.00000000e-03
3000,1188.154816,val,4.624407,,3.00000000e-03
