step,wallclock_sec,split,loss,tokens_per_sec,lr
1,13.425858,train,10.384025,91524.884831,2.45000000e-03
50,31.615914,train,6.769509,67553.392591,2.45000000e-03
100,49.606076,train,6.334971,68303.997182,2.45000000e-03
150,67.158741,train,6.019205,70006.464376,2.45000000e-03
200,84.174601,train,5.787327,72214.979258,2.45000000e-03
200,96.401373,val,5.845135,,2.45000000e-03
250,113.106215,train,5.818866,42472.569386,2.45000000e-03
300,129.606447,train,5.539049,74471.684545,2.45000000e-03
350,145.860702,train,5.461853,75598.664947,2.45000000e-03
400,161.767177,train,5.427689,77251.559180,2.45000000e-03
400,163.582854,val,5.376202,,2.45000000e-03
450,179.360920,train,5.350238,69843.009569,2.45000000e-03
500,194.882606,train,5.272270,79166.658362,2.45000000e-03
550,210.273807,train,5.289329,79837.826595,2.45000000e-03
600,225.512468,train,5.181063,80637.007092,2.45000000e-03
600,227.192443,val,5.139550,,2.45000000e-03
650,242.356746,train,5.141535,72950.586432,2.45000000e-03
700,257.376608,train,5.055818,81811.669487,2.45000000e-03
750,272.221253,train,4.961629,82777.328611,2.45000000e-03
800,286.984169,train,5.002488,83235.586575,2.45000000e-03
800,288.631457,val,5.027115,,2.45000000e-03
850,303.350673,train,5.068745,75080.177255,2.45000000e-03
900,318.021920,train,4.938637,83755.661638,2.45000000e-03
950,332.631536,train,4.901073,84108.982493,2.45000000e-03
1000,347.149857,train,4.877288,84637.887330,2.45000000e-03
1000,348.780155,val,4.891295,,2.45000000e-03
