step,wallclock_sec,split,loss,tokens_per_sec,lr
1,6.018408,train,10.384025,204173.609548,2.45000000e-03
50,19.755191,train,6.794757,89453.258272,2.45000000e-03
100,33.768116,train,6.378755,87690.470549,2.45000000e-03
150,47.782013,train,6.051539,87684.388159,2.45000000e-03
200,61.794781,train,5.804853,87691.453777,2.45000000e-03
200,65.638065,val,5.873209,,2.45000000e-03
250,79.642926,train,5.844685,68847.493602,2.45000000e-03
300,93.651000,train,5.554580,87720.836935,2.45000000e-03
350,107.661573,train,5.496453,87705.194411,2.45000000e-03
400,121.671626,train,5.457701,87708.443668,2.45000000e-03
400,123.289174,val,5.397641,,2.45000000e-03
450,137.295388,train,5.372512,78649.435694,2.45000000e-03
500,151.306683,train,5.296535,87700.667942,2.45000000e-03
550,165.318409,train,5.301171,87697.977355,2.45000000e-03
600,179.323092,train,5.204982,87742.080229,2.45000000e-03
600,180.938896,val,5.152773,,2.45000000e-03
650,194.941954,train,5.157468,78674.102538,2.45000000e-03
700,208.953119,train,5.062238,87701.491716,2.45000000e-03
750,222.964967,train,4.961849,87697.211844,2.45000000e-03
800,236.975530,train,5.013882,87705.252618,2.45000000e-03
800,238.591616,val,5.036652,,2.45000000e-03
850,252.598136,train,5.087312,78655.251046,2.45000000e-03
900,266.605736,train,4.942167,87723.809630,2.45000000e-03
950,280.618704,train,4.910685,87690.197517,2.45000000e-03
1000,294.625826,train,4.884216,87726.803432,2.45000000e-03
1000,296.240887,val,4.896599,,2.45000000e-03
1050,310.650203,train,4.875049,76683.165603,2.45000000e-03
1100,325.064725,train,4.865163,85247.365544,2.45000000e-03
1150,339.431131,train,4.843769,85532.874617,2.45000000e-03
1200,353.757356,train,4.842741,85772.768187,2.45000000e-03
1200,355.383935,val,4.799848,,2.45000000e-03
1250,369.667503,train,4.774628,77233.731539,2.45000000e-03
1300,383.917258,train,4.746305,86233.060679,2.45000000e-03
1350,398.137140,train,4.770984,86414.220569,2.45000000e-03
1400,412.345305,train,4.657978,86485.483991,2.45000000e-03
1400,413.968213,val,4.732311,,2.45000000e-03
1450,428.163594,train,4.709412,77682.233224,2.45000000e-03
1500,442.322067,train,4.653927,86789.020166,2.45000000e-03
1550,456.474486,train,4.713091,86826.142638,2.45000000e-03
1600,470.597080,train,4.660738,87009.514821,2.45000000e-03
1600,472.214430,val,4.661754,,2.45000000e-03
1650,486.321099,train,4.673362,78147.955694,2.45000000e-03
1700,500.432904,train,4.742622,87076.037798,2.45000000e-03
1750,514.518434,train,4.676242,87238.462130,2.45000000e-03
1800,528.602163,train,4.617433,87249.616624,2.45000000e-03
1800,530.222007,val,4.626841,,2.45000000e-03
1850,544.292775,train,4.645283,78314.348091,2.45000000e-03
1900,558.344909,train,4.533532,87445.789733,2.45000000e-03
1950,572.398382,train,4.667251,87437.459731,2.45000000e-03
2000,586.448779,train,4.654649,87456.607010,2.45000000e-03
2000,588.068222,val,4.576535,,2.45000000e-03
2050,602.101235,train,4.613579,78505.252797,2.45000000e-03
2100,616.135614,train,4.598989,87556.416775,2.45000000e-03
2150,630.166142,train,4.545046,87580.454198,2.45000000e-03
2200,644.205397,train,4.511346,87526.010999,2.45000000e-03
2200,645.822377,val,4.559554,,2.45000000e-03
2250,659.848472,train,4.565616,78552.331915,2.45000000e-03
2300,673.875305,train,4.567969,87603.525034,2.45000000e-03
2350,687.894340,train,4.641410,87652.255162,2.45000000e-03
2400,701.919032,train,4.553791,87616.897032,2.45000000e-03
2400,703.535044,val,4.517755,,2.45000000e-03
2450,717.550868,train,4.449568,78608.807447,2.45000000e-03
2500,731.571151,train,4.523787,87644.447664,2.45000000e-03
2550,745.584488,train,4.553734,87687.893971,2.45000000e-03
2600,759.603602,train,4.429591,87651.761749,2.45000000e-03
2600,761.219743,val,4.511574,,2.45000000e-03
2650,775.229322,train,4.521875,78639.574967,2.45000000e-03
2700,789.241279,train,4.421857,87696.528416,2.45000000e-03
2750,803.254453,train,4.496125,87688.912947,2.45000000e-03
2800,817.265669,train,4.509121,87701.170860,2.45000000e-03
2800,818.883343,val,4.470954,,2.45000000e-03
2850,832.892067,train,4.451215,78636.163830,2.45000000e-03
2900,846.908821,train,4.570268,87666.514367,2.45000000e-03
2950,860.920011,train,4.451976,87701.329049,2.45000000e-03
3000,874.931558,train,4.482883,87699.098040,2.45000000e-03
3000,876.547115,val,4.462849,,2.45000000e-03
