step,wallclock_sec,split,loss,tokens_per_sec,lr
1,6.091084,train,10.384025,201737.498186,2.45000000e-03
50,19.860661,train,6.828163,89240.213962,2.45000000e-03
100,33.906079,train,6.417980,87487.610584,2.45000000e-03
150,47.956105,train,6.072103,87458.910293,2.45000000e-03
200,62.004932,train,5.821351,87466.377504,2.45000000e-03
200,65.885051,val,5.886101,,2.45000000e-03
250,79.927917,train,5.857067,68560.007986,2.45000000e-03
300,93.977816,train,5.558874,87459.704301,2.45000000e-03
350,108.026850,train,5.490451,87465.090577,2.45000000e-03
400,122.073864,train,5.446194,87477.660145,2.45000000e-03
400,123.692931,val,5.402628,,2.45000000e-03
450,137.736900,train,5.375879,78452.226480,2.45000000e-03
500,151.783965,train,5.301705,87477.349834,2.45000000e-03
550,165.827889,train,5.292570,87496.911190,2.45000000e-03
600,179.876270,train,5.202644,87469.153357,2.45000000e-03
600,181.491982,val,5.159221,,2.45000000e-03
650,195.534760,train,5.162314,78475.002502,2.45000000e-03
700,209.576653,train,5.074261,87509.565683,2.45000000e-03
750,223.623590,train,4.981103,87478.145661,2.45000000e-03
800,237.671494,train,5.022228,87472.122380,2.45000000e-03
800,239.288653,val,5.043330,,2.45000000e-03
850,253.332567,train,5.092863,78462.058194,2.45000000e-03
900,267.375925,train,4.964628,87500.439164,2.45000000e-03
950,281.421917,train,4.931432,87484.033155,2.45000000e-03
1000,295.470575,train,4.909287,87467.428448,2.45000000e-03
1000,297.087135,val,4.909556,,2.45000000e-03
1050,311.128314,train,4.892821,78478.761751,2.45000000e-03
1100,325.174655,train,4.874249,87481.859219,2.45000000e-03
1150,339.220510,train,4.865263,87484.882563,2.45000000e-03
1200,353.270216,train,4.862535,87460.903502,2.45000000e-03
1200,354.885986,val,4.817144,,2.45000000e-03
1250,368.930733,train,4.794793,78464.842622,2.45000000e-03
1300,382.979366,train,4.767181,87467.588764,2.45000000e-03
1350,397.026031,train,4.787642,87479.836842,2.45000000e-03
1400,411.076916,train,4.669169,87453.566328,2.45000000e-03
1400,412.692689,val,4.759197,,2.45000000e-03
1450,426.737868,train,4.721586,78462.664994,2.45000000e-03
1500,440.785021,train,4.681726,87476.798999,2.45000000e-03
1550,454.827852,train,4.734479,87503.723779,2.45000000e-03
1600,468.876529,train,4.688373,87467.308212,2.45000000e-03
1600,470.492837,val,4.683676,,2.45000000e-03
1650,484.534710,train,4.700499,78476.548698,2.45000000e-03
1700,498.581374,train,4.763482,87479.845751,2.45000000e-03
1750,512.627960,train,4.699483,87480.331291,2.45000000e-03
1800,526.675076,train,4.653514,87477.035070,2.45000000e-03
1800,528.293004,val,4.648952,,2.45000000e-03
1850,542.339481,train,4.665855,78445.364134,2.45000000e-03
1900,556.389281,train,4.554844,87460.320223,2.45000000e-03
1950,570.439244,train,4.684421,87459.306553,2.45000000e-03
2000,584.489372,train,4.674228,87458.278065,2.45000000e-03
2000,586.106175,val,4.597000,,2.45000000e-03
2050,600.147981,train,4.639474,78474.403875,2.45000000e-03
2100,614.192859,train,4.626446,87490.971466,2.45000000e-03
2150,628.241461,train,4.572646,87467.775800,2.45000000e-03
2200,642.286787,train,4.523699,87488.177891,2.45000000e-03
2200,643.901659,val,4.580485,,2.45000000e-03
2250,657.945480,train,4.581431,78473.982094,2.45000000e-03
2300,671.992124,train,4.589975,87479.974931,2.45000000e-03
2350,686.033126,train,4.668443,87515.121565,2.45000000e-03
2400,700.078882,train,4.574480,87485.500326,2.45000000e-03
2400,701.695240,val,4.536941,,2.45000000e-03
2450,715.739387,train,4.473108,78464.903545,2.45000000e-03
2500,729.780804,train,4.544182,87512.530020,2.45000000e-03
2550,743.831107,train,4.561286,87457.188756,2.45000000e-03
2600,757.875018,train,4.453423,87496.994372,2.45000000e-03
2600,759.492130,val,4.531631,,2.45000000e-03
2650,773.532486,train,4.546522,78480.125255,2.45000000e-03
2700,787.582421,train,4.442813,87459.475744,2.45000000e-03
2750,801.630779,train,4.521091,87469.297350,2.45000000e-03
2800,815.677817,train,4.536911,87477.516125,2.45000000e-03
2800,817.294475,val,4.491008,,2.45000000e-03
2850,831.339520,train,4.471517,78458.900120,2.45000000e-03
2900,845.385541,train,4.589468,87483.850504,2.45000000e-03
2950,859.435584,train,4.485963,87458.809373,2.45000000e-03
3000,873.481587,train,4.514720,87483.963361,2.45000000e-03
3000,875.098614,val,4.482512,,2.45000000e-03
