step,wallclock_sec,split,loss,tokens_per_sec,lr
1,19.288979,train,10.384346,63704.772128,2.45000000e-03
50,33.535353,train,6.767736,86253.524455,2.45000000e-03
100,47.733096,train,6.378913,86548.969503,2.45000000e-03
150,61.929768,train,6.042543,86555.495724,2.45000000e-03
200,76.132873,train,5.787702,86516.295062,2.45000000e-03
200,87.079136,val,5.847955,,2.45000000e-03
250,101.277234,train,5.817058,48869.805137,2.45000000e-03
300,115.477174,train,5.529648,86535.577117,2.45000000e-03
350,129.675004,train,5.461963,86548.436111,2.45000000e-03
400,143.873122,train,5.412464,86546.681925,2.45000000e-03
400,145.499837,val,5.361978,,2.45000000e-03
450,159.695595,train,5.338181,77661.691361,2.45000000e-03
500,173.900060,train,5.257671,86508.004707,2.45000000e-03
550,188.101303,train,5.253692,86527.637517,2.45000000e-03
600,202.300291,train,5.171367,86541.383463,2.45000000e-03
600,203.927846,val,5.123200,,2.45000000e-03
650,218.123125,train,5.124199,77659.914987,2.45000000e-03
700,232.327010,train,5.022033,86511.546319,2.45000000e-03
750,246.529465,train,4.938247,86520.252746,2.45000000e-03
800,260.727148,train,4.977491,86549.332852,2.45000000e-03
800,262.353387,val,4.997123,,2.45000000e-03
850,276.549521,train,5.040257,77662.181692,2.45000000e-03
900,290.750238,train,4.894776,86530.837880,2.45000000e-03
950,304.947884,train,4.868005,86549.563944,2.45000000e-03
1000,319.142523,train,4.844516,86567.893894,2.45000000e-03
1000,320.769597,val,4.847578,,2.45000000e-03
1050,334.967195,train,4.823094,77650.895116,2.45000000e-03
1100,349.166525,train,4.810265,86539.293902,2.45000000e-03
1150,363.362726,train,4.812342,86558.372516,2.45000000e-03
1200,377.559648,train,4.797064,86553.969459,2.45000000e-03
1200,379.184968,val,4.754714,,2.45000000e-03
1250,393.382287,train,4.724701,77660.875717,2.45000000e-03
1300,407.579199,train,4.704283,86554.034869,2.45000000e-03
1350,421.775601,train,4.720637,86557.144150,2.45000000e-03
1400,435.971719,train,4.606400,86558.875501,2.45000000e-03
1400,437.597698,val,4.685128,,2.45000000e-03
1450,451.788093,train,4.660336,77691.638652,2.45000000e-03
1500,465.986723,train,4.604757,86543.560317,2.45000000e-03
1550,480.188288,train,4.662078,86525.674997,2.45000000e-03
1600,494.391773,train,4.622928,86513.974358,2.45000000e-03
1600,496.019845,val,4.616321,,2.45000000e-03
1650,510.214185,train,4.627206,77661.993283,2.45000000e-03
1700,524.407188,train,4.692107,86577.868217,2.45000000e-03
1750,538.605936,train,4.645714,86542.842437,2.45000000e-03
1800,552.807747,train,4.592865,86524.178835,2.45000000e-03
1800,554.436121,val,4.581988,,2.45000000e-03
1850,568.635333,train,4.599117,77636.601468,2.45000000e-03
1900,582.833104,train,4.475495,86548.795096,2.45000000e-03
1950,597.033850,train,4.623960,86530.667904,2.45000000e-03
2000,611.236217,train,4.611071,86520.785790,2.45000000e-03
2000,612.862825,val,4.529436,,2.45000000e-03
2050,627.055318,train,4.571000,77678.247845,2.45000000e-03
2100,641.254241,train,4.554434,86541.775811,2.45000000e-03
2150,655.454819,train,4.507807,86531.689219,2.45000000e-03
2200,669.653197,train,4.465519,86545.097840,2.45000000e-03
2200,671.279005,val,4.514920,,2.45000000e-03
2250,685.475819,train,4.514726,77660.957632,2.45000000e-03
2300,699.673791,train,4.520567,86547.572816,2.45000000e-03
2350,713.873873,train,4.591477,86534.708266,2.45000000e-03
2400,728.073031,train,4.505043,86540.343029,2.45000000e-03
2400,729.699712,val,4.473487,,2.45000000e-03
2450,743.892077,train,4.409534,77678.514773,2.45000000e-03
2500,758.094095,train,4.480792,86522.916580,2.45000000e-03
2550,772.294530,train,4.499718,86532.560914,2.45000000e-03
2600,786.495262,train,4.386713,86530.747807,2.45000000e-03
2600,788.123841,val,4.465983,,2.45000000e-03
2650,802.323111,train,4.477844,77635.316234,2.45000000e-03
2700,816.524822,train,4.372171,86524.780199,2.45000000e-03
2750,830.723311,train,4.450473,86544.423532,2.45000000e-03
2800,844.921470,train,4.471330,86546.433408,2.45000000e-03
2800,846.549823,val,4.426761,,2.45000000e-03
2850,860.744792,train,4.412081,77657.522043,2.45000000e-03
2900,874.939814,train,4.530179,86565.555881,2.45000000e-03
2950,889.136138,train,4.410892,86557.618048,2.45000000e-03
3000,903.338042,train,4.435246,86523.615246,2.45000000e-03
3000,904.963646,val,4.418490,,2.45000000e-03
