step,wallclock_sec,split,loss,tokens_per_sec,lr
1,12.991732,train,10.890821,94583.236188,2.45000000e-03
50,26.595948,train,6.928350,90324.942955,2.45000000e-03
100,40.472897,train,6.524994,88549.720217,2.45000000e-03
150,54.348292,train,6.206490,88559.639103,2.45000000e-03
200,68.218911,train,5.963523,88590.133923,2.45000000e-03
200,73.914766,val,6.030201,,2.45000000e-03
250,87.794175,train,5.996699,62773.099839,2.45000000e-03
300,101.671920,train,5.718238,88544.648278,2.45000000e-03
350,115.545137,train,5.643325,88573.545108,2.45000000e-03
400,129.418340,train,5.592586,88573.628828,2.45000000e-03
400,131.032270,val,5.539342,,2.45000000e-03
450,144.904417,train,5.510216,79348.698265,2.45000000e-03
500,158.779083,train,5.430386,88564.289679,2.45000000e-03
550,172.660625,train,5.439692,88520.428429,2.45000000e-03
600,186.537345,train,5.318452,88551.183794,2.45000000e-03
600,188.152114,val,5.268997,,2.45000000e-03
650,202.032877,train,5.276563,79300.280556,2.45000000e-03
700,215.904215,train,5.167253,88585.541537,2.45000000e-03
750,229.778211,train,5.059175,88568.567848,2.45000000e-03
800,243.651968,train,5.088692,88570.102063,2.45000000e-03
800,245.265528,val,5.110975,,2.45000000e-03
850,259.138177,train,5.161067,79348.014160,2.45000000e-03
900,273.016171,train,4.997488,88543.060184,2.45000000e-03
950,286.892073,train,4.953133,88556.405597,2.45000000e-03
1000,300.768130,train,4.920028,88555.416572,2.45000000e-03
1000,302.384732,val,4.927938,,2.45000000e-03
1050,316.261948,train,4.902181,79309.048205,2.45000000e-03
1100,330.138820,train,4.868615,88550.217706,2.45000000e-03
1150,344.011797,train,4.851441,88575.074928,2.45000000e-03
1200,357.886351,train,4.846139,88565.011049,2.45000000e-03
1200,359.498840,val,4.798650,,2.45000000e-03
1250,373.368254,train,4.768304,79370.083715,2.45000000e-03
1300,387.244639,train,4.737556,88553.322954,2.45000000e-03
1350,401.122568,train,4.740843,88543.475456,2.45000000e-03
1400,415.003690,train,4.634463,88523.104340,2.45000000e-03
1400,416.615882,val,4.709897,,2.45000000e-03
1450,430.493660,train,4.701035,79328.748011,2.45000000e-03
1500,444.372936,train,4.635489,88534.883314,2.45000000e-03
1550,458.252641,train,4.670850,88532.139777,2.45000000e-03
1600,472.130113,train,4.645938,88546.385511,2.45000000e-03
1600,473.745920,val,4.632195,,2.45000000e-03
1650,487.619682,train,4.651915,79330.807912,2.45000000e-03
1700,501.494846,train,4.707234,88561.112138,2.45000000e-03
1750,515.367389,train,4.608708,88577.847007,2.45000000e-03
1800,529.242684,train,4.597521,88560.279745,2.45000000e-03
1800,530.858041,val,4.584345,,2.45000000e-03
1850,544.731223,train,4.600515,79336.082089,2.45000000e-03
1900,558.605500,train,4.479377,88566.777998,2.45000000e-03
1950,572.475509,train,4.622262,88594.032344,2.45000000e-03
2000,586.348700,train,4.616931,88573.706460,2.45000000e-03
2000,587.960539,val,4.530910,,2.45000000e-03
2050,601.830111,train,4.567301,79372.612704,2.45000000e-03
2100,615.705029,train,4.558731,88562.684140,2.45000000e-03
2150,629.579676,train,4.519234,88564.412950,2.45000000e-03
2200,643.453987,train,4.466358,88566.563404,2.45000000e-03
2200,645.066961,val,4.512506,,2.45000000e-03
2250,658.942005,train,4.516575,79338.750585,2.45000000e-03
2300,672.814739,train,4.513695,88576.629159,2.45000000e-03
2350,686.687184,train,4.594721,88578.472689,2.45000000e-03
2400,700.558451,train,4.506289,88585.995273,2.45000000e-03
2400,702.170583,val,4.470784,,2.45000000e-03
2450,716.043049,train,4.387112,79356.275517,2.45000000e-03
2500,729.914986,train,4.464452,88581.716942,2.45000000e-03
2550,743.790170,train,4.497791,88560.982789,2.45000000e-03
2600,757.660863,train,4.385263,88589.666440,2.45000000e-03
2600,759.273608,val,4.459526,,2.45000000e-03
2650,773.143839,train,4.469221,79364.586257,2.45000000e-03
2700,787.021376,train,4.374031,88545.971733,2.45000000e-03
2750,800.895119,train,4.438263,88570.184255,2.45000000e-03
2800,814.774742,train,4.448905,88532.665963,2.45000000e-03
2800,816.387997,val,4.419028,,2.45000000e-03
2850,830.267207,train,4.394653,79315.974614,2.45000000e-03
2900,844.143531,train,4.529167,88553.715500,2.45000000e-03
2950,858.022211,train,4.401824,88538.681051,2.45000000e-03
3000,871.897268,train,4.431106,88561.795412,2.45000000e-03
3000,873.510360,val,4.405926,,2.45000000e-03
