step,wallclock_sec,split,loss,tokens_per_sec,lr
1,6.021497,train,10.393367,204068.879164,2.45000000e-03
50,19.757569,train,6.787858,89457.892934,2.45000000e-03
100,33.770328,train,6.345374,87691.508981,2.45000000e-03
150,47.775744,train,6.033146,87737.482741,2.45000000e-03
200,61.786111,train,5.788799,87706.483936,2.45000000e-03
200,65.670466,val,5.860798,,2.45000000e-03
250,79.683126,train,5.830853,68659.495800,2.45000000e-03
300,93.693349,train,5.538892,87707.383939,2.45000000e-03
350,107.706554,train,5.473563,87688.717505,2.45000000e-03
400,121.715958,train,5.424918,87712.509683,2.45000000e-03
400,123.332211,val,5.382662,,2.45000000e-03
450,137.338375,train,5.349205,78656.201749,2.45000000e-03
500,151.347171,train,5.282418,87716.317808,2.45000000e-03
550,165.356154,train,5.278581,87715.150406,2.45000000e-03
600,179.365436,train,5.192074,87713.270983,2.45000000e-03
600,180.982044,val,5.140238,,2.45000000e-03
650,194.990125,train,5.140386,78644.764831,2.45000000e-03
700,209.000491,train,5.055477,87706.488413,2.45000000e-03
750,223.016562,train,4.954000,87670.792734,2.45000000e-03
800,237.022506,train,4.996418,87734.180554,2.45000000e-03
800,238.637579,val,5.022904,,2.45000000e-03
850,252.641518,train,5.059319,78673.348353,2.45000000e-03
900,266.657362,train,4.936956,87672.210996,2.45000000e-03
950,280.667721,train,4.894621,87706.531697,2.45000000e-03
1000,294.676972,train,4.878847,87713.465042,2.45000000e-03
1000,296.292412,val,4.884404,,2.45000000e-03
1050,310.300755,train,4.869342,78649.325277,2.45000000e-03
1100,324.313197,train,4.842176,87693.497886,2.45000000e-03
1150,338.319407,train,4.842359,87732.512380,2.45000000e-03
1200,352.331416,train,4.825028,87696.200136,2.45000000e-03
1200,353.947692,val,4.789263,,2.45000000e-03
1250,367.951273,train,4.763869,78669.093723,2.45000000e-03
1300,381.958265,train,4.737885,87727.620230,2.45000000e-03
1350,395.968528,train,4.757449,87707.133190,2.45000000e-03
1400,409.979277,train,4.639728,87704.087002,2.45000000e-03
1400,411.595017,val,4.721728,,2.45000000e-03
1450,425.602468,train,4.697248,78652.307855,2.45000000e-03
1500,439.612237,train,4.643573,87710.224369,2.45000000e-03
1550,453.621278,train,4.704169,87714.781680,2.45000000e-03
1600,467.631820,train,4.658113,87705.386942,2.45000000e-03
1600,469.247281,val,4.650798,,2.45000000e-03
1650,483.254709,train,4.667426,78653.826236,2.45000000e-03
1700,497.265391,train,4.722733,87704.510859,2.45000000e-03
1750,511.275279,train,4.655360,87709.481033,2.45000000e-03
1800,525.287092,train,4.613898,87697.429707,2.45000000e-03
1800,526.902089,val,4.612929,,2.45000000e-03
1850,540.906259,train,4.636287,78672.571365,2.45000000e-03
1900,554.917022,train,4.516466,87704.004918,2.45000000e-03
1950,568.925351,train,4.653720,87719.239437,2.45000000e-03
2000,582.935247,train,4.649051,87709.427299,2.45000000e-03
2000,584.550853,val,4.561071,,2.45000000e-03
2050,598.554354,train,4.603034,78672.872792,2.45000000e-03
2100,612.563216,train,4.585216,87715.904288,2.45000000e-03
2150,626.574689,train,4.540258,87699.557663,2.45000000e-03
2200,640.584419,train,4.492290,87710.475136,2.45000000e-03
2200,642.199957,val,4.545943,,2.45000000e-03
2250,656.209187,train,4.551940,78644.366417,2.45000000e-03
2300,670.219800,train,4.562827,87704.939197,2.45000000e-03
2350,684.231342,train,4.640872,87699.129378,2.45000000e-03
2400,698.242548,train,4.534909,87701.229062,2.45000000e-03
2400,699.857861,val,4.502003,,2.45000000e-03
2450,713.863767,train,4.443186,78662.234206,2.45000000e-03
2500,727.874920,train,4.509947,87701.560365,2.45000000e-03
2550,741.880380,train,4.528309,87737.213897,2.45000000e-03
2600,755.890630,train,4.416011,87707.215280,2.45000000e-03
2600,757.506248,val,4.495695,,2.45000000e-03
2650,771.512926,train,4.515212,78656.809155,2.45000000e-03
2700,785.524188,train,4.406544,87700.881346,2.45000000e-03
2750,799.531659,train,4.489986,87724.617414,2.45000000e-03
2800,813.541731,train,4.502817,87708.328738,2.45000000e-03
2800,815.156738,val,4.455428,,2.45000000e-03
2850,829.161342,train,4.450459,78670.330556,2.45000000e-03
2900,843.171452,train,4.556943,87708.092910,2.45000000e-03
2950,857.178835,train,4.451466,87725.162415,2.45000000e-03
3000,871.186886,train,4.469467,87720.983250,2.45000000e-03
3000,872.804287,val,4.445613,,2.45000000e-03
