step,wallclock_sec,split,loss,tokens_per_sec,lr
1,0.611661,train,10.391719,803582.745790,2.00000000e-03
20,3.928802,train,7.294530,148175.801698,2.00000000e-03
40,7.419876,train,7.062470,140793.355159,2.00000000e-03
60,10.911339,train,6.688428,140777.683950,2.00000000e-03
80,14.401820,train,6.310576,140817.243637,2.00000000e-03
100,17.892927,train,6.314735,140792.037874,2.00000000e-03
100,18.153778,val,6.338069,,2.00000000e-03
120,21.644418,train,6.175636,131019.912374,2.00000000e-03
140,25.136358,train,6.047052,140758.421798,2.00000000e-03
160,28.628951,train,6.065260,140732.122671,2.00000000e-03
180,32.121607,train,5.884025,140729.548056,2.00000000e-03
200,35.615014,train,5.733926,140699.351402,2.00000000e-03
200,35.875128,val,5.820476,,2.00000000e-03
