step,wallclock_sec,split,loss,tokens_per_sec,lr
1,0.593617,train,10.391720,828008.684229,2.00000000e-03
20,3.480346,train,7.302387,170268.840497,2.00000000e-03
40,6.514594,train,7.078070,161990.746128,2.00000000e-03
60,9.548128,train,6.698511,162028.813469,2.00000000e-03
80,12.581734,train,6.316939,162025.031398,2.00000000e-03
100,15.615149,train,6.318489,162035.206463,2.00000000e-03
100,15.823868,val,6.343120,,2.00000000e-03
120,18.856374,train,6.187097,151646.356920,2.00000000e-03
140,21.888421,train,6.054998,162108.316015,2.00000000e-03
160,24.922458,train,6.062377,162001.948036,2.00000000e-03
180,27.955216,train,5.899985,162070.313241,2.00000000e-03
200,30.987578,train,5.743903,162091.440686,2.00000000e-03
200,31.195920,val,5.826974,,2.00000000e-03
