step,wallclock_sec,split,loss,tokens_per_sec,lr
1,14.642636,train,10.391720,33567.727967,2.00000000e-03
20,18.042939,train,7.302400,144551.798163,2.00000000e-03
40,20.559390,train,7.080594,195322.726183,2.00000000e-03
60,23.077150,train,6.712767,195221.145982,2.00000000e-03
80,25.596042,train,6.345688,195133.393477,2.00000000e-03
100,28.114250,train,6.340885,195186.416194,2.00000000e-03
100,34.528793,val,6.375106,,2.00000000e-03
120,37.044708,train,6.193714,55038.610137,2.00000000e-03
140,39.560790,train,6.076200,195351.358627,2.00000000e-03
160,42.079393,train,6.088348,195155.818386,2.00000000e-03
180,44.596760,train,5.908914,195251.616344,2.00000000e-03
200,47.114578,train,5.762490,195216.672373,2.00000000e-03
200,47.282505,val,5.845725,,2.00000000e-03
