step,wallclock_sec,split,loss,tokens_per_sec,lr
1,14.792387,train,10.391749,33227.902955,2.00000000e-03
20,18.100055,train,7.298223,148600.163124,2.00000000e-03
40,20.142673,train,7.083539,240632.444924,2.00000000e-03
60,22.187005,train,6.696321,240430.639802,2.00000000e-03
80,24.228554,train,6.332367,240758.341072,2.00000000e-03
100,26.270561,train,6.325342,240704.397557,2.00000000e-03
100,33.877097,val,6.349712,,2.00000000e-03
120,35.917694,train,6.184153,50949.849038,2.00000000e-03
140,37.958911,train,6.058258,240797.541884,2.00000000e-03
160,40.001352,train,6.069200,240653.259283,2.00000000e-03
180,42.043183,train,5.899647,240725.083822,2.00000000e-03
200,44.084678,train,5.746682,240764.667455,2.00000000e-03
200,44.225991,val,5.833602,,2.00000000e-03
