step,wallclock_sec,split,loss,tokens_per_sec,lr
1,7.525036,train,10.391749,163294.902930,2.00000000e-03
50,13.827501,train,6.706609,194971.341196,2.00000000e-03
100,18.936044,train,6.301559,240538.255124,2.00000000e-03
150,24.045785,train,5.989813,240481.857419,2.00000000e-03
200,29.155873,train,5.759197,240465.532274,2.00000000e-03
250,34.264778,train,5.631706,240521.192729,2.00000000e-03
300,39.375713,train,5.462422,240425.688034,2.00000000e-03
300,43.148663,val,5.569042,,2.00000000e-03
350,48.261643,train,5.445482,138286.031008,2.00000000e-03
400,53.371577,train,5.375241,240472.780140,2.00000000e-03
450,58.484772,train,5.332438,240319.366783,2.00000000e-03
500,63.593644,train,5.097128,240522.775389,2.00000000e-03
550,68.703887,train,5.175897,240458.262408,2.00000000e-03
600,73.815306,train,5.101890,240402.888980,2.00000000e-03
600,74.370815,val,5.155654,,2.00000000e-03
650,79.481881,train,5.158173,216850.577547,2.00000000e-03
700,84.590899,train,5.035657,240515.894899,2.00000000e-03
750,89.702519,train,5.059686,240393.425222,2.00000000e-03
800,94.811183,train,5.066086,240532.541197,2.00000000e-03
850,99.922692,train,4.941364,240398.717659,2.00000000e-03
900,105.034225,train,4.903636,240397.529083,2.00000000e-03
900,105.588221,val,4.928360,,2.00000000e-03
950,110.696393,train,4.969941,217019.363934,2.00000000e-03
1000,115.806376,train,4.868731,240470.468854,2.00000000e-03
1050,120.915132,train,4.849335,240528.208223,2.00000000e-03
1100,126.025584,train,4.843009,240448.368018,2.00000000e-03
1150,131.137721,train,4.682515,240369.186152,2.00000000e-03
1200,136.251062,train,4.671309,240312.520336,2.00000000e-03
1200,136.804972,val,4.787276,,2.00000000e-03
1250,141.916009,train,4.774419,216912.893373,2.00000000e-03
1300,147.026886,train,4.714797,240428.391012,2.00000000e-03
1350,152.137620,train,4.721923,240435.154332,2.00000000e-03
1400,157.249063,train,4.747383,240401.790069,2.00000000e-03
1450,162.359193,train,4.710248,240463.524042,2.00000000e-03
1500,167.469012,train,4.780386,240478.210717,2.00000000e-03
1500,168.022405,val,4.674397,,2.00000000e-03
