step,wallclock_sec,split,loss,tokens_per_sec,lr
1,7.462324,train,10.386112,164667.207570,2.00000000e-03
50,13.749713,train,6.978484,195438.851545,2.00000000e-03
100,18.851090,train,6.580770,240876.116909,2.00000000e-03
150,23.954458,train,6.264964,240782.197492,2.00000000e-03
200,29.056443,train,6.004566,240847.402158,2.00000000e-03
250,34.159709,train,5.885580,240786.967094,2.00000000e-03
300,39.262283,train,5.695567,240819.673201,2.00000000e-03
300,43.004916,val,5.796471,,2.00000000e-03
350,48.106770,train,5.657388,138934.005635,2.00000000e-03
400,53.209172,train,5.600536,240827.752652,2.00000000e-03
450,58.312020,train,5.551483,240806.688702,2.00000000e-03
500,63.414384,train,5.297390,240829.541907,2.00000000e-03
550,68.515693,train,5.367286,240879.336630,2.00000000e-03
600,73.617983,train,5.274233,240833.052976,2.00000000e-03
600,74.173735,val,5.316379,,2.00000000e-03
650,79.274395,train,5.312602,217240.182102,2.00000000e-03
700,84.378598,train,5.167627,240742.765527,2.00000000e-03
750,89.480485,train,5.192060,240852.084300,2.00000000e-03
800,94.582061,train,5.177713,240866.750938,2.00000000e-03
850,99.685133,train,5.051040,240796.090608,2.00000000e-03
900,104.786956,train,5.014986,240855.100776,2.00000000e-03
900,105.341811,val,5.031791,,2.00000000e-03
950,110.442621,train,5.065718,217268.873847,2.00000000e-03
1000,115.546143,train,4.975165,240774.919714,2.00000000e-03
1050,120.650337,train,4.944850,240743.181598,2.00000000e-03
1100,125.754561,train,4.924291,240741.809692,2.00000000e-03
1150,130.857237,train,4.763826,240814.823541,2.00000000e-03
1200,135.960851,train,4.736031,240770.533013,2.00000000e-03
1200,136.515281,val,4.855903,,2.00000000e-03
1250,141.617165,train,4.846280,217243.954730,2.00000000e-03
1300,146.721122,train,4.782004,240754.382331,2.00000000e-03
1350,151.823838,train,4.783058,240812.944491,2.00000000e-03
1400,156.926929,train,4.795017,240795.201850,2.00000000e-03
1450,162.027911,train,4.747104,240894.794740,2.00000000e-03
1500,167.130171,train,4.826301,240834.482190,2.00000000e-03
1500,167.684171,val,4.715593,,2.00000000e-03
