step,wallclock_sec,split,loss,tokens_per_sec,lr
1,15.665555,train,10.391843,78439.608426,2.00000000e-03
50,22.080430,train,6.711378,191554.798105,2.00000000e-03
100,27.285490,train,6.339151,236077.959234,2.00000000e-03
150,32.489177,train,6.000678,236140.261933,2.00000000e-03
200,37.692899,train,5.741819,236138.649869,2.00000000e-03
250,42.896188,train,5.608423,236158.342359,2.00000000e-03
300,48.098108,train,5.433982,236220.481792,2.00000000e-03
300,56.873719,val,5.536113,,2.00000000e-03
350,62.078019,train,5.410284,87897.551728,2.00000000e-03
400,67.281450,train,5.342994,236151.904068,2.00000000e-03
450,72.485083,train,5.308825,236142.707119,2.00000000e-03
500,77.688886,train,5.061780,236134.993053,2.00000000e-03
550,82.892888,train,5.148105,236125.981326,2.00000000e-03
600,88.097039,train,5.069480,236119.177009,2.00000000e-03
600,88.669018,val,5.121216,,2.00000000e-03
650,93.872070,train,5.135025,212778.075286,2.00000000e-03
700,99.073461,train,5.005279,236244.508566,2.00000000e-03
750,104.277964,train,5.028505,236103.233292,2.00000000e-03
800,109.480747,train,5.033730,236181.306653,2.00000000e-03
850,114.684652,train,4.901075,236130.373511,2.00000000e-03
900,119.889154,train,4.874442,236103.254924,2.00000000e-03
900,120.459859,val,4.890337,,2.00000000e-03
950,125.664129,train,4.932164,212780.130858,2.00000000e-03
1000,130.868202,train,4.823081,236122.768428,2.00000000e-03
1050,136.071795,train,4.812306,236144.503173,2.00000000e-03
1100,141.274266,train,4.799778,236195.496532,2.00000000e-03
1150,146.480726,train,4.643502,236014.446502,2.00000000e-03
1200,151.684948,train,4.640160,236115.985930,2.00000000e-03
1200,152.254836,val,4.744632,,2.00000000e-03
1250,157.457021,train,4.737128,212887.136913,2.00000000e-03
1300,162.661024,train,4.681938,236125.905601,2.00000000e-03
1350,167.864300,train,4.697066,236158.915871,2.00000000e-03
1400,173.066918,train,4.707618,236188.774798,2.00000000e-03
1450,178.268971,train,4.657113,236214.451503,2.00000000e-03
1500,183.472613,train,4.754474,236142.317617,2.00000000e-03
1500,184.042320,val,4.637480,,2.00000000e-03
