step,wallclock_sec,split,loss,tokens_per_sec,lr
1,13.778545,train,10.391749,89182.135883,2.00000000e-03
50,20.321472,train,6.752503,187805.833788,2.00000000e-03
100,25.703295,train,6.351337,228324.117244,2.00000000e-03
150,31.085734,train,6.029133,228298.023732,2.00000000e-03
200,36.467784,train,5.792352,228314.468018,2.00000000e-03
250,41.851141,train,5.651295,228259.056391,2.00000000e-03
300,47.233381,train,5.480259,228306.457959,2.00000000e-03
300,53.091040,val,5.591380,,2.00000000e-03
350,58.474719,train,5.461744,109310.826370,2.00000000e-03
400,63.858360,train,5.386293,228247.027128,2.00000000e-03
450,69.240111,train,5.347378,228327.171991,2.00000000e-03
500,74.623420,train,5.108655,228261.088350,2.00000000e-03
550,80.005259,train,5.184093,228323.459776,2.00000000e-03
600,85.387522,train,5.100872,228305.456741,2.00000000e-03
600,85.990301,val,5.157094,,2.00000000e-03
650,91.371331,train,5.163129,205354.140183,2.00000000e-03
700,96.756163,train,5.029118,228196.528172,2.00000000e-03
750,102.139613,train,5.051800,228255.093670,2.00000000e-03
800,107.523578,train,5.056813,228233.311273,2.00000000e-03
850,112.906901,train,4.925837,228260.502010,2.00000000e-03
900,118.290625,train,4.896445,228243.479244,2.00000000e-03
900,118.891890,val,4.918796,,2.00000000e-03
950,124.274317,train,4.953342,205358.174047,2.00000000e-03
1000,129.658208,train,4.862675,228236.424233,2.00000000e-03
1050,135.042981,train,4.836451,228199.003585,2.00000000e-03
1100,140.427863,train,4.827207,228194.446845,2.00000000e-03
1150,145.812159,train,4.660899,228219.243368,2.00000000e-03
1200,151.195893,train,4.660760,228243.085041,2.00000000e-03
1200,151.796421,val,4.773824,,2.00000000e-03
1250,157.179918,train,4.763324,205346.719268,2.00000000e-03
1300,162.563079,train,4.710337,228267.366420,2.00000000e-03
1350,167.947052,train,4.728824,228232.967640,2.00000000e-03
1400,173.330832,train,4.738581,228241.093833,2.00000000e-03
1450,178.713631,train,4.690423,228282.744603,2.00000000e-03
1500,184.096241,train,4.776492,228290.722662,2.00000000e-03
1500,184.696745,val,4.667411,,2.00000000e-03
