step,wallclock_sec,split,loss,tokens_per_sec,lr
1,13.336902,train,10.840876,92135.343939,2.00000000e-03
50,19.577955,train,6.982081,196889.825902,2.00000000e-03
100,24.649147,train,6.518922,242309.916329,2.00000000e-03
150,29.717762,train,6.204818,242433.069816,2.00000000e-03
200,34.786485,train,5.948302,242427.949700,2.00000000e-03
250,39.853427,train,5.812873,242513.149649,2.00000000e-03
300,44.919921,train,5.636559,242534.570272,2.00000000e-03
300,50.329903,val,5.747125,,2.00000000e-03
350,55.397382,train,5.630337,117280.318233,2.00000000e-03
400,60.461480,train,5.551168,242649.338302,2.00000000e-03
450,65.525298,train,5.503586,242662.773637,2.00000000e-03
500,70.589033,train,5.261585,242666.703982,2.00000000e-03
550,75.651179,train,5.333591,242742.913855,2.00000000e-03
600,80.713454,train,5.242661,242736.694579,2.00000000e-03
600,81.269989,val,5.289099,,2.00000000e-03
650,86.331815,train,5.278880,218711.471339,2.00000000e-03
700,91.392688,train,5.134233,242803.957405,2.00000000e-03
750,96.453192,train,5.165318,242821.676989,2.00000000e-03
800,101.513461,train,5.154260,242832.934672,2.00000000e-03
850,106.572257,train,5.031245,242903.650840,2.00000000e-03
900,111.631589,train,4.986528,242877.930065,2.00000000e-03
900,112.186240,val,5.009557,,2.00000000e-03
950,117.245025,train,5.044345,218903.360362,2.00000000e-03
1000,122.303967,train,4.950683,242896.633462,2.00000000e-03
1050,127.361781,train,4.916654,242950.802569,2.00000000e-03
1100,132.421524,train,4.904746,242858.165284,2.00000000e-03
1150,137.478558,train,4.733752,242988.280521,2.00000000e-03
1200,142.537144,train,4.695583,242913.736886,2.00000000e-03
1200,143.091206,val,4.810383,,2.00000000e-03
1250,148.147708,train,4.789546,219015.405442,2.00000000e-03
1300,153.205887,train,4.721408,242933.304600,2.00000000e-03
1350,158.261912,train,4.735529,243036.771602,2.00000000e-03
1400,163.317310,train,4.738845,243066.904944,2.00000000e-03
1450,168.372877,train,4.681673,243058.777719,2.00000000e-03
1500,173.427848,train,4.784629,243087.483352,2.00000000e-03
1500,173.981615,val,4.656936,,2.00000000e-03
