step,wallclock_sec,split,loss,tokens_per_sec,lr
1,7.642549,train,10.391749,160784.056764,2.00000000e-03
50,12.652201,train,6.716825,245286.503871,2.00000000e-03
100,16.610954,train,6.315546,310400.804037,2.00000000e-03
150,20.570791,train,6.010501,310315.806550,2.00000000e-03
200,24.529409,train,5.769006,310411.291782,2.00000000e-03
250,28.488247,train,5.642988,310394.149080,2.00000000e-03
300,32.447533,train,5.471535,310358.953590,2.00000000e-03
300,36.172279,val,5.576487,,2.00000000e-03
350,40.132436,train,5.450936,159897.931205,2.00000000e-03
400,44.094621,train,5.375816,310131.916897,2.00000000e-03
450,48.059134,train,5.344903,309949.792153,2.00000000e-03
500,52.021491,train,5.106283,310118.406396,2.00000000e-03
550,55.982366,train,5.187433,310234.534351,2.00000000e-03
600,59.942688,train,5.103190,310277.808225,2.00000000e-03
600,60.498633,val,5.153224,,2.00000000e-03
650,64.458755,train,5.162098,272095.106844,2.00000000e-03
700,68.419824,train,5.025193,310219.297051,2.00000000e-03
750,72.381752,train,5.057450,310152.016879,2.00000000e-03
800,76.341594,train,5.063277,310315.432873,2.00000000e-03
850,80.287343,train,4.931892,311423.777948,2.00000000e-03
900,84.232063,train,4.907304,311504.977904,2.00000000e-03
900,84.787807,val,4.923551,,2.00000000e-03
950,88.730751,train,4.959387,273146.334000,2.00000000e-03
1000,92.674710,train,4.855267,311565.124027,2.00000000e-03
1050,96.619572,train,4.848935,311493.719564,2.00000000e-03
1100,100.565332,train,4.828256,311422.912345,2.00000000e-03
1150,104.511177,train,4.668910,311416.232305,2.00000000e-03
1200,108.456297,train,4.663358,311473.407662,2.00000000e-03
1200,109.011456,val,4.777539,,2.00000000e-03
1250,112.955326,train,4.768896,273125.562469,2.00000000e-03
1300,116.901115,train,4.705987,311420.635454,2.00000000e-03
1350,120.846212,train,4.720840,311475.233554,2.00000000e-03
1400,124.791581,train,4.744269,311453.738325,2.00000000e-03
1450,128.736633,train,4.697000,311478.772457,2.00000000e-03
1500,132.682074,train,4.790379,311448.129726,2.00000000e-03
1500,133.236873,val,4.671060,,2.00000000e-03
