step,wallclock_sec,split,loss,tokens_per_sec,lr
1,12.470631,train,10.854443,98535.517721,1.63300000e-03
50,19.768244,train,7.021063,168383.828508,1.63300000e-03
100,27.213933,train,6.565321,165035.096969,1.63300000e-03
150,34.662098,train,6.209049,164980.224156,1.63300000e-03
200,42.110429,train,5.920680,164976.553888,1.63300000e-03
250,49.567852,train,5.760141,164775.430230,1.63300000e-03
300,57.024831,train,5.550741,164785.229248,1.63300000e-03
350,64.479474,train,5.562532,164836.856650,1.63300000e-03
400,71.932486,train,5.510954,164872.945465,1.63300000e-03
400,78.267196,val,5.424669,,1.63300000e-03
450,85.869997,train,5.358085,88164.950029,1.63300000e-03
500,93.469613,train,5.111731,161692.384240,1.63300000e-03
550,101.038268,train,5.188863,162353.823121,1.63300000e-03
600,108.478812,train,5.083967,165149.206754,1.63300000e-03
650,115.918893,train,5.180015,165159.500147,1.63300000e-03
700,123.358825,train,5.044281,165162.781601,1.63300000e-03
750,130.797028,train,4.979159,165201.210780,1.63300000e-03
800,138.238180,train,4.925919,165135.718795,1.63300000e-03
800,139.007849,val,4.914330,,1.63300000e-03
850,146.448034,train,4.888020,149673.787799,1.63300000e-03
900,153.888482,train,4.743028,165151.344710,1.63300000e-03
950,161.327445,train,4.754601,165184.310115,1.63300000e-03
1000,168.768106,train,4.627162,165146.613762,1.63300000e-03
1050,176.210795,train,4.763294,165101.625091,1.63300000e-03
1100,183.655044,train,4.718212,165067.032657,1.63300000e-03
1150,191.100072,train,4.647295,165049.747160,1.63300000e-03
1200,198.546448,train,4.582496,165019.862895,1.63300000e-03
1200,199.315989,val,4.607078,,1.63300000e-03
1250,206.759609,train,4.605971,149613.537661,1.63300000e-03
1300,214.205166,train,4.578219,165038.003546,1.63300000e-03
1350,221.650098,train,4.465035,165051.882542,1.63300000e-03
1400,229.095250,train,4.523044,165047.009301,1.63300000e-03
1450,236.541593,train,4.498309,165020.602605,1.63300000e-03
1500,243.990963,train,4.494297,164953.543179,1.63300000e-03
1550,251.439102,train,4.490307,164980.799795,1.63300000e-03
1600,258.888538,train,4.455281,164952.086085,1.63300000e-03
1600,259.659390,val,4.437417,,1.63300000e-03
1650,267.112169,train,4.385375,149423.052882,1.63300000e-03
1700,274.563401,train,4.392962,164912.311041,1.63300000e-03
1750,282.011104,train,4.396791,164990.475367,1.63300000e-03
1800,289.460811,train,4.367164,164946.078486,1.63300000e-03
1850,296.907325,train,4.346319,165016.819587,1.63300000e-03
1900,304.357038,train,4.463223,164945.962350,1.63300000e-03
1950,311.805864,train,4.396660,164965.586303,1.63300000e-03
2000,319.251135,train,4.351547,165044.366665,1.63300000e-03
2000,320.021399,val,4.349203,,1.63300000e-03
