step,wallclock_sec,split,loss,tokens_per_sec,lr
1,13.211376,train,10.828469,93010.757788,1.41400000e-03
50,22.630831,train,7.121498,130453.409926,1.41400000e-03
100,32.251867,train,6.630737,127720.132558,1.41400000e-03
150,41.881121,train,6.283064,127611.130301,1.41400000e-03
200,51.508628,train,5.988483,127634.288259,1.41400000e-03
250,61.146284,train,5.809053,127499.872603,1.41400000e-03
300,70.789182,train,5.615996,127430.573240,1.41400000e-03
350,80.435788,train,5.599939,127381.586192,1.41400000e-03
400,90.083417,train,5.550237,127368.081538,1.41400000e-03
400,104.087750,val,5.472215,,1.41400000e-03
450,113.713770,train,5.404519,52000.916523,1.41400000e-03
500,123.349027,train,5.164280,127531.629896,1.41400000e-03
550,132.989107,train,5.228109,127467.819020,1.41400000e-03
600,142.624714,train,5.119018,127526.991197,1.41400000e-03
650,152.265946,train,5.206858,127452.594092,1.41400000e-03
700,161.913822,train,5.072281,127364.817556,1.41400000e-03
750,171.555235,train,5.008105,127450.201934,1.41400000e-03
800,181.196000,train,4.939748,127458.771885,1.41400000e-03
800,182.241660,val,4.933123,,1.41400000e-03
850,191.882936,train,4.893508,114981.504886,1.41400000e-03
900,201.524759,train,4.770706,127444.778150,1.41400000e-03
950,211.171183,train,4.768701,127383.991517,1.41400000e-03
1000,220.818315,train,4.648726,127374.638335,1.41400000e-03
1050,230.465894,train,4.771754,127368.751981,1.41400000e-03
1100,240.113474,train,4.737865,127368.717357,1.41400000e-03
1150,249.762896,train,4.652880,127344.419099,1.41400000e-03
1200,259.406479,train,4.599160,127421.525091,1.41400000e-03
1200,260.451660,val,4.618161,,1.41400000e-03
1250,270.100487,train,4.621527,114905.462231,1.41400000e-03
1300,279.750823,train,4.590107,127332.350520,1.41400000e-03
1350,289.396705,train,4.466343,127391.154508,1.41400000e-03
1400,299.044689,train,4.532801,127363.401223,1.41400000e-03
1450,308.693194,train,4.503700,127356.515143,1.41400000e-03
1500,318.340371,train,4.497165,127374.046527,1.41400000e-03
1550,327.990552,train,4.486296,127334.395348,1.41400000e-03
1600,337.640306,train,4.464169,127340.039413,1.41400000e-03
1600,338.686541,val,4.440927,,1.41400000e-03
1650,348.335172,train,4.387169,114896.248281,1.41400000e-03
1700,357.983872,train,4.401086,127353.950364,1.41400000e-03
1750,367.632121,train,4.383660,127359.888852,1.41400000e-03
1800,377.279151,train,4.370195,127375.998255,1.41400000e-03
1850,386.925914,train,4.342861,127379.508366,1.41400000e-03
1900,396.575827,train,4.456931,127337.934628,1.41400000e-03
1950,406.224233,train,4.389514,127357.833764,1.41400000e-03
2000,415.868033,train,4.342409,127418.642681,1.41400000e-03
2000,416.915833,val,4.341034,,1.41400000e-03
