step,wallclock_sec,split,loss,tokens_per_sec,lr
1,13.042301,train,10.828469,94216.507549,1.00000000e-03
50,22.456446,train,7.083321,130526.992314,1.00000000e-03
100,32.069632,train,6.589465,127824.429384,1.00000000e-03
150,41.738720,train,6.227970,127085.407030,1.00000000e-03
200,51.479993,train,5.942907,126143.678479,1.00000000e-03
250,61.158230,train,5.770616,126965.276339,1.00000000e-03
300,70.794657,train,5.583225,127516.143637,1.00000000e-03
350,80.432370,train,5.577279,127499.115618,1.00000000e-03
400,90.069547,train,5.529793,127506.225320,1.00000000e-03
400,96.305568,val,5.446077,,1.00000000e-03
450,105.935059,train,5.387552,77451.016183,1.00000000e-03
500,115.573505,train,5.131533,127489.423855,1.00000000e-03
550,125.210887,train,5.207142,127503.506254,1.00000000e-03
600,134.873153,train,5.096492,127175.136553,1.00000000e-03
650,144.620256,train,5.180045,126068.227969,1.00000000e-03
700,154.366434,train,5.045677,126080.193808,1.00000000e-03
750,164.109163,train,4.983427,126124.832850,1.00000000e-03
800,173.846253,train,4.928287,126197.857446,1.00000000e-03
800,174.892277,val,4.919014,,1.00000000e-03
850,184.639689,train,4.885401,113846.975935,1.00000000e-03
900,194.383313,train,4.748730,126113.244272,1.00000000e-03
950,204.127934,train,4.746811,126100.337320,1.00000000e-03
1000,213.875900,train,4.620512,126057.062930,1.00000000e-03
1050,223.620555,train,4.741951,126099.896129,1.00000000e-03
1100,233.284347,train,4.708399,127155.062319,1.00000000e-03
1150,242.925871,train,4.630011,127448.730123,1.00000000e-03
1200,252.565413,train,4.572312,127474.937843,1.00000000e-03
1200,253.611137,val,4.587438,,1.00000000e-03
1250,263.254692,train,4.584367,114956.297432,1.00000000e-03
1300,272.898293,train,4.557604,127421.276222,1.00000000e-03
1350,282.540094,train,4.438286,127445.077534,1.00000000e-03
1400,292.180049,train,4.497046,127469.470970,1.00000000e-03
1450,301.820307,train,4.466637,127465.473577,1.00000000e-03
1500,311.454302,train,4.459791,127548.332009,1.00000000e-03
1550,321.091404,train,4.452165,127507.212666,1.00000000e-03
1600,330.728281,train,4.424643,127510.187414,1.00000000e-03
1600,331.772996,val,4.408447,,1.00000000e-03
1650,341.409817,train,4.353748,115039.627485,1.00000000e-03
1700,351.049700,train,4.371735,127470.435678,1.00000000e-03
1750,360.687653,train,4.352826,127495.955305,1.00000000e-03
1800,370.323225,train,4.339190,127527.448741,1.00000000e-03
1850,379.963587,train,4.301115,127464.099137,1.00000000e-03
1900,389.605366,train,4.428682,127445.351707,1.00000000e-03
1950,399.248025,train,4.353337,127433.739766,1.00000000e-03
2000,408.886979,train,4.315032,127482.713339,1.00000000e-03
2000,409.931520,val,4.305614,,1.00000000e-03
