step,wallclock_sec,split,loss,tokens_per_sec,lr
1,13.065866,train,10.828469,94046.585990,1.00000000e-03
50,24.002403,train,6.388585,112357.318422,1.00000000e-03
100,35.148233,train,5.925547,110247.505721,1.00000000e-03
150,46.297385,train,5.571406,110214.664586,1.00000000e-03
200,57.452392,train,5.315395,110156.812327,1.00000000e-03
250,68.614637,train,5.172230,110085.374169,1.00000000e-03
300,79.786827,train,5.025815,109987.391158,1.00000000e-03
350,90.957988,train,5.029348,109997.524828,1.00000000e-03
400,102.134377,train,4.977765,109946.065971,1.00000000e-03
400,108.094367,val,4.923797,,1.00000000e-03
450,119.249497,train,4.847517,71796.162473,1.00000000e-03
500,130.405806,train,4.589900,110143.963471,1.00000000e-03
550,141.560153,train,4.688072,110163.327358,1.00000000e-03
600,152.710421,train,4.633248,110203.626060,1.00000000e-03
650,163.854727,train,4.656801,110262.586663,1.00000000e-03
700,175.006813,train,4.521054,110185.661371,1.00000000e-03
750,186.162111,train,4.586877,110153.944734,1.00000000e-03
800,197.318031,train,4.497193,110147.793331,1.00000000e-03
800,198.363695,val,4.487287,,1.00000000e-03
850,209.529185,train,4.464972,100629.310023,1.00000000e-03
900,220.697738,train,4.357835,110023.206560,1.00000000e-03
950,231.867188,train,4.386959,110014.371461,1.00000000e-03
1000,243.031464,train,4.284305,110065.346623,1.00000000e-03
1050,254.208033,train,4.430906,109944.302253,1.00000000e-03
1100,265.390943,train,4.399862,109881.947114,1.00000000e-03
1150,276.575722,train,4.326859,109863.590656,1.00000000e-03
1200,287.763747,train,4.286654,109831.726779,1.00000000e-03
1200,288.809995,val,4.315232,,1.00000000e-03
1250,299.996444,train,4.318864,100452.085680,1.00000000e-03
1300,311.185368,train,4.304839,109822.899003,1.00000000e-03
1350,322.367018,train,4.191366,109894.331876,1.00000000e-03
1400,333.547020,train,4.253910,109910.537498,1.00000000e-03
1450,344.736425,train,4.238572,109818.167413,1.00000000e-03
1500,355.920216,train,4.230757,109873.296305,1.00000000e-03
1550,367.101789,train,4.234259,109895.091079,1.00000000e-03
1600,378.287734,train,4.203659,109852.144691,1.00000000e-03
1600,379.335069,val,4.185623,,1.00000000e-03
1650,390.518079,train,4.135952,100471.407386,1.00000000e-03
1700,401.701500,train,4.157449,109876.938708,1.00000000e-03
1750,412.883855,train,4.144494,109887.403469,1.00000000e-03
1800,424.066029,train,4.138970,109889.184106,1.00000000e-03
1850,435.249370,train,4.102487,109877.718752,1.00000000e-03
1900,446.431150,train,4.239818,109893.059533,1.00000000e-03
1950,457.612604,train,4.159082,109896.260364,1.00000000e-03
2000,468.795444,train,4.109653,109882.645234,1.00000000e-03
2000,469.842048,val,4.116041,,1.00000000e-03
