step,wallclock_sec,split,loss,tokens_per_sec,lr
1,13.040436,train,10.818089,94229.984879,7.07000000e-06
50,24.260945,train,7.374064,109513.740949,3.53500000e-04
100,35.711120,train,6.505739,107317.141104,7.07000000e-04
150,47.152757,train,5.766210,107397.221341,7.07000000e-04
200,58.595104,train,5.780771,107390.548272,7.07000000e-04
250,70.040529,train,5.457798,107361.679238,7.07000000e-04
300,81.494867,train,5.403894,107278.130479,7.07000000e-04
350,92.952490,train,5.234972,107247.382479,7.07000000e-04
400,104.411922,train,5.142369,107230.446688,7.07000000e-04
400,110.315021,val,5.201906,,7.07000000e-04
450,121.754884,train,5.212157,70852.944874,7.07000000e-04
500,133.181721,train,5.058477,107536.322531,7.07000000e-04
550,144.603919,train,5.014571,107579.998626,7.07000000e-04
600,156.027521,train,4.887527,107566.769496,7.07000000e-04
650,167.454114,train,4.694900,107538.617908,7.07000000e-04
700,178.879451,train,4.612472,107550.437401,7.07000000e-04
750,190.308082,train,4.485418,107519.443408,7.07000000e-04
800,201.734426,train,4.473547,107540.953775,7.07000000e-04
800,202.811618,val,4.551538,,7.07000000e-04
850,214.243731,train,4.548398,98230.875061,7.07000000e-04
900,225.678618,train,4.336883,107460.623278,7.07000000e-04
950,237.122504,train,4.371769,107376.115170,7.07000000e-04
1000,248.580336,train,4.367363,107245.416403,7.07000000e-04
1050,260.042709,train,4.368565,107202.932416,7.07000000e-04
1100,271.504240,train,4.436867,107210.806532,7.07000000e-04
1150,282.972532,train,4.341561,107147.607622,7.07000000e-04
1200,294.445720,train,4.322226,107101.875881,7.07000000e-04
1200,295.525789,val,4.321242,,7.07000000e-04
1250,306.995551,train,4.345089,97913.667931,7.07000000e-04
1300,318.464262,train,4.261836,107143.687311,7.07000000e-04
1350,330.057766,train,4.175548,105990.389539,7.07000000e-04
1400,342.177533,train,4.249689,101388.088154,7.07000000e-04
1450,354.304826,train,4.216561,101325.169024,7.07000000e-04
1500,366.434176,train,4.186188,101307.982804,7.07000000e-04
1550,378.563807,train,4.221473,101305.643029,7.07000000e-04
1600,390.697428,train,4.056194,101272.316459,7.07000000e-04
1600,391.779370,val,4.171514,,7.07000000e-04
1650,403.908894,train,4.085820,93010.121636,6.18625000e-04
1700,416.035743,train,4.096867,101328.880292,5.30250000e-04
1750,428.168470,train,4.159070,101279.779291,4.41875000e-04
1800,440.298581,train,4.065149,101301.630815,3.53500000e-04
1850,452.425922,train,3.922327,101324.768629,2.65125000e-04
1900,464.552153,train,3.943348,101334.038270,1.76750000e-04
1950,476.680950,train,3.943554,101312.602932,8.83750000e-05
2000,488.831394,train,3.982965,101132.106521,0.00000000e+00
2000,489.913118,val,3.963584,,0.00000000e+00
