step,wallclock_sec,split,loss,tokens_per_sec,lr
1,13.150297,train,10.828469,93442.758680,1.00000000e-05
50,24.088126,train,7.267694,112344.044184,5.00000000e-04
100,35.245301,train,6.316078,110135.410214,1.00000000e-03
150,46.404296,train,5.801099,110117.441877,1.00000000e-03
200,57.582862,train,5.482667,109924.651883,1.00000000e-03
250,68.764665,train,5.302962,109892.839278,1.00000000e-03
300,79.948755,train,5.128057,109870.361477,1.00000000e-03
350,91.131405,train,5.093816,109884.500686,1.00000000e-03
400,102.310833,train,5.061280,109916.177191,1.00000000e-03
400,108.539896,val,4.994683,,1.00000000e-03
450,119.713542,train,4.913723,70609.699328,1.00000000e-03
500,130.896407,train,4.647573,109882.394566,1.00000000e-03
550,142.082122,train,4.722203,109854.397166,1.00000000e-03
600,153.268285,train,4.667870,109849.997667,1.00000000e-03
650,164.453820,train,4.692454,109856.172050,1.00000000e-03
700,175.642794,train,4.547322,109822.402892,1.00000000e-03
750,186.831896,train,4.606174,109821.146255,1.00000000e-03
800,198.016691,train,4.519705,109863.431408,1.00000000e-03
800,199.066464,val,4.509409,,1.00000000e-03
850,210.254042,train,4.490425,100413.889081,1.00000000e-03
900,221.440732,train,4.379446,109844.828297,1.00000000e-03
950,232.627999,train,4.405718,109839.156129,1.00000000e-03
1000,243.817593,train,4.295387,109816.316541,1.00000000e-03
1050,255.009120,train,4.444989,109797.345773,1.00000000e-03
1100,266.199180,train,4.409797,109811.744615,1.00000000e-03
1150,277.388021,train,4.338269,109823.713383,1.00000000e-03
1200,288.576654,train,4.298958,109825.740025,1.00000000e-03
1200,289.625714,val,4.323091,,1.00000000e-03
1250,300.816230,train,4.340287,100395.639656,1.00000000e-03
1300,312.009140,train,4.306099,109783.783201,1.00000000e-03
1350,323.202643,train,4.202849,109777.960673,1.00000000e-03
1400,334.393783,train,4.258478,109801.153905,1.00000000e-03
1450,345.582459,train,4.249572,109825.325798,1.00000000e-03
1500,356.770532,train,4.233400,109831.246972,1.00000000e-03
1550,367.958608,train,4.237050,109831.214205,1.00000000e-03
1600,379.147691,train,4.203029,109821.335802,1.00000000e-03
1600,380.196350,val,4.194708,,1.00000000e-03
1650,391.386303,train,4.127252,100403.535190,8.75000000e-04
1700,402.575001,train,4.138782,109825.119856,7.50000000e-04
1750,413.762700,train,4.096401,109834.912335,6.25000000e-04
1800,424.950332,train,4.074136,109835.572407,5.00000000e-04
1850,436.139452,train,4.009098,109820.970749,3.75000000e-04
1900,447.339027,train,4.127436,109718.449653,2.50000000e-04
1950,458.751781,train,4.048315,107669.016056,1.25000000e-04
2000,470.612407,train,3.998967,103603.304854,0.00000000e+00
2000,471.660361,val,3.995090,,0.00000000e+00
