step,wallclock_sec,split,loss,tokens_per_sec,lr
1,25.929095,train,10.849187,47390.779400,1.00000000e-05
50,35.672439,train,7.082060,126116.873382,5.00000000e-04
100,45.646562,train,6.282784,123198.792690,1.00000000e-03
150,55.606599,train,5.802848,123373.038702,1.00000000e-03
200,65.536260,train,5.490372,123750.453778,1.00000000e-03
250,75.479487,train,5.315979,123581.600329,1.00000000e-03
300,85.413775,train,5.149287,123692.812853,1.00000000e-03
350,95.349829,train,5.126749,123670.828536,1.00000000e-03
400,105.277651,train,5.091419,123773.373004,1.00000000e-03
400,116.769504,val,5.019856,,1.00000000e-03
450,126.704891,train,4.943220,57347.563477,1.00000000e-03
500,136.624149,train,4.691200,123880.232314,1.00000000e-03
550,146.542098,train,4.763275,123896.587323,1.00000000e-03
600,156.450600,train,4.691994,124014.708516,1.00000000e-03
650,166.360961,train,4.711357,123991.440320,1.00000000e-03
700,176.277916,train,4.568493,123909.005361,1.00000000e-03
750,186.176855,train,4.628448,124134.517156,1.00000000e-03
800,196.094480,train,4.539011,123900.626114,1.00000000e-03
800,197.016786,val,4.529841,,1.00000000e-03
850,206.947162,train,4.512732,113225.469439,1.00000000e-03
900,216.874377,train,4.403298,123780.944276,1.00000000e-03
950,226.790884,train,4.424980,123914.597121,1.00000000e-03
1000,236.714065,train,4.318858,123831.264591,1.00000000e-03
1050,246.633911,train,4.469831,123872.884091,1.00000000e-03
1100,256.566518,train,4.432196,123713.744839,1.00000000e-03
1150,266.490984,train,4.363496,123815.221292,1.00000000e-03
1200,276.408366,train,4.319711,123903.670274,1.00000000e-03
1200,277.330687,val,4.341713,,1.00000000e-03
1250,287.254511,train,4.345371,113293.707825,1.00000000e-03
1300,297.179735,train,4.327767,123805.769205,1.00000000e-03
1350,307.110513,train,4.220732,123736.531641,1.00000000e-03
1400,317.039463,train,4.274572,123759.309008,1.00000000e-03
1450,326.959165,train,4.269637,123874.694269,1.00000000e-03
1500,336.868540,train,4.250804,124003.787875,1.00000000e-03
1550,346.783701,train,4.250668,123931.414169,1.00000000e-03
1600,356.703166,train,4.229728,123877.644854,1.00000000e-03
1600,357.625404,val,4.212608,,1.00000000e-03
1650,367.542702,train,4.137241,113362.789008,8.75000000e-04
1700,377.465533,train,4.152539,123835.626421,7.50000000e-04
1750,387.387772,train,4.121689,123843.020812,6.25000000e-04
1800,397.306971,train,4.089129,123880.967780,5.00000000e-04
1850,407.226862,train,4.028139,123872.324376,3.75000000e-04
1900,417.150056,train,4.150164,123831.097978,2.50000000e-04
1950,427.072147,train,4.063260,123844.871780,1.25000000e-04
2000,437.000359,train,4.012490,123768.510280,0.00000000e+00
2000,437.922483,val,4.014855,,0.00000000e+00
