step,wallclock_sec,split,loss,tokens_per_sec,lr
1,26.189281,train,10.820964,46919.960658,1.00000000e-05
50,37.113941,train,7.267951,112479.470926,5.00000000e-04
100,48.257981,train,6.310510,110265.219293,1.00000000e-03
150,59.399025,train,5.801441,110294.866287,1.00000000e-03
200,70.552284,train,5.482883,110174.077548,1.00000000e-03
250,81.709078,train,5.299637,110139.161809,1.00000000e-03
300,92.866168,train,5.127196,110136.250418,1.00000000e-03
350,104.027612,train,5.100260,110093.279991,1.00000000e-03
400,115.201607,train,5.062494,109969.616559,1.00000000e-03
400,128.238307,val,4.998158,,1.00000000e-03
450,139.390495,train,4.920282,50800.186454,1.00000000e-03
500,150.536767,train,4.650849,110243.135991,1.00000000e-03
550,161.678139,train,4.728280,110291.625673,1.00000000e-03
600,172.821409,train,4.658027,110272.841890,1.00000000e-03
650,183.962421,train,4.693966,110295.184930,1.00000000e-03
700,195.111272,train,4.547902,110217.631979,1.00000000e-03
750,206.260236,train,4.613317,110216.524196,1.00000000e-03
800,217.410809,train,4.518611,110200.607583,1.00000000e-03
800,218.455880,val,4.511533,,1.00000000e-03
850,229.607855,train,4.488449,100745.706775,1.00000000e-03
900,240.762017,train,4.380213,110165.152270,1.00000000e-03
950,251.926434,train,4.408071,110063.973948,1.00000000e-03
1000,263.088600,train,4.292680,110086.159527,1.00000000e-03
1050,274.249172,train,4.444196,110101.878450,1.00000000e-03
1100,285.412652,train,4.418018,110073.209604,1.00000000e-03
1150,296.588697,train,4.339039,109949.441116,1.00000000e-03
1200,307.771092,train,4.301262,109887.021577,1.00000000e-03
1200,308.819355,val,4.323782,,1.00000000e-03
1250,320.003054,train,4.342031,100458.122058,1.00000000e-03
1300,331.184050,train,4.306924,109900.771369,1.00000000e-03
1350,342.367986,train,4.194894,109871.872203,1.00000000e-03
1400,353.553342,train,4.263379,109857.918891,1.00000000e-03
1450,364.744553,train,4.245661,109800.452141,1.00000000e-03
1500,375.937081,train,4.227241,109787.529588,1.00000000e-03
1550,387.129814,train,4.233873,109785.520726,1.00000000e-03
1600,398.317538,train,4.211654,109834.668906,1.00000000e-03
1600,399.365650,val,4.193474,,1.00000000e-03
1650,410.554500,train,4.126081,100417.085858,8.75000000e-04
1700,421.740481,train,4.133387,109851.779433,7.50000000e-04
1750,432.932276,train,4.097484,109794.726081,6.25000000e-04
1800,444.122835,train,4.073243,109806.843204,5.00000000e-04
1850,455.311075,train,4.010262,109829.603958,3.75000000e-04
1900,466.497886,train,4.128506,109843.643718,2.50000000e-04
1950,477.688322,train,4.044943,109808.050385,1.25000000e-04
2000,488.880919,train,3.994771,109786.856062,0.00000000e+00
2000,489.929448,val,3.995170,,0.00000000e+00
