step,wallclock_sec,split,loss,tokens_per_sec,lr
1,23.274827,train,10.818089,52795.238829,1.00000000e-05
50,34.513272,train,7.373032,109338.967194,5.00000000e-04
100,45.985548,train,6.467900,107110.396272,1.00000000e-03
150,57.463376,train,5.719385,107058.580396,1.00000000e-03
200,68.942077,train,5.732421,107050.437345,1.00000000e-03
250,80.428674,train,5.410676,106976.854761,1.00000000e-03
300,91.916281,train,5.353465,106967.449815,1.00000000e-03
350,103.402851,train,5.194163,106977.099009,1.00000000e-03
400,114.900259,train,5.093854,106876.263700,1.00000000e-03
400,127.004506,val,5.155966,,1.00000000e-03
450,138.466885,train,5.164971,52141.532532,1.00000000e-03
500,149.927932,train,4.997985,107215.338409,1.00000000e-03
550,161.391942,train,4.950136,107187.626802,1.00000000e-03
600,172.862020,train,4.808925,107130.917102,1.00000000e-03
650,184.333056,train,4.622930,107121.968189,1.00000000e-03
700,195.818791,train,4.547477,106984.886686,1.00000000e-03
750,207.312715,train,4.407690,106908.655342,1.00000000e-03
800,218.810918,train,4.431852,106868.872972,1.00000000e-03
800,219.894666,val,4.499956,,1.00000000e-03
850,231.392119,train,4.503400,97669.534021,1.00000000e-03
900,242.893214,train,4.294061,106841.997956,1.00000000e-03
950,254.389053,train,4.327223,106890.853139,1.00000000e-03
1000,265.888153,train,4.337397,106860.532760,1.00000000e-03
1050,277.386138,train,4.335092,106870.898395,1.00000000e-03
1100,288.886299,train,4.412388,106850.678630,1.00000000e-03
1150,300.390144,train,4.309522,106816.462495,1.00000000e-03
1200,311.891326,train,4.290674,106841.196189,1.00000000e-03
1200,312.974612,val,4.295418,,1.00000000e-03
1250,324.478297,train,4.332954,97624.755978,1.00000000e-03
1300,335.982933,train,4.229653,106809.119877,1.00000000e-03
1350,347.488205,train,4.150172,106803.210213,1.00000000e-03
1400,358.991661,train,4.231948,106820.071085,1.00000000e-03
1450,370.498218,train,4.196930,106791.284422,1.00000000e-03
1500,382.011092,train,4.167562,106732.687816,1.00000000e-03
1550,393.523208,train,4.208570,106739.712653,1.00000000e-03
1600,405.031469,train,4.041044,106775.472306,1.00000000e-03
1600,406.114272,val,4.150561,,1.00000000e-03
1650,417.620618,train,4.062884,97607.874050,8.75000000e-04
1700,429.131875,train,4.076110,106747.682475,7.50000000e-04
1750,440.639057,train,4.144718,106785.480719,6.25000000e-04
1800,452.146585,train,4.045079,106782.270478,5.00000000e-04
1850,463.653684,train,3.902612,106786.259525,3.75000000e-04
1900,475.159093,train,3.917502,106801.933192,2.50000000e-04
1950,486.672122,train,3.924786,106731.259973,1.25000000e-04
2000,498.179626,train,3.953456,106782.493927,0.00000000e+00
2000,499.262054,val,3.936478,,0.00000000e+00
