step,wallclock_sec,split,loss,tokens_per_sec,lr
1,13.346076,train,10.818089,46036.006641,1.41400000e-05
25,18.931144,train,7.849452,110007.608708,3.53500000e-04
50,24.736430,train,7.361284,105834.571609,7.07000000e-04
75,30.558676,train,6.697048,105526.280916,1.06050000e-03
100,36.374238,train,6.439985,105647.583936,1.41400000e-03
125,42.187057,train,6.165851,105697.411870,1.41400000e-03
150,47.999627,train,5.687822,105701.959779,1.41400000e-03
175,53.813455,train,5.730444,105679.085466,8.83750000e-04
200,59.630070,train,5.692109,105628.447839,0.00000000e+00
200,65.240307,val,5.634402,,0.00000000e+00
