step,wallclock_sec,split,loss,tokens_per_sec
1,0.709029,train,9.266867,924306.082362
20,12.339905,train,4.114205,56346.574690
40,24.135119,train,3.565682,55561.517596
60,35.420616,train,3.297076,58070.994178
80,46.380995,train,3.080507,59793.550784
100,57.175031,train,2.888405,60715.007474
120,67.846879,train,2.663632,61410.173788
140,78.426115,train,2.654539,61947.761004
160,88.888300,train,2.432498,62640.836577
180,99.305904,train,2.480514,62908.896510
200,109.668195,train,2.420455,63244.702248
200,113.132895,val,2.390412,
220,123.707633,train,2.433182,46679.931174
240,134.014482,train,2.310275,63584.906516
260,144.296048,train,2.218200,63741.257440
280,154.575198,train,2.238456,63756.247337
300,164.833170,train,2.141173,63887.873266
320,175.091841,train,2.108423,63883.513899
340,185.350498,train,2.080650,63883.610404
360,195.591232,train,2.137721,63995.410712
380,205.812737,train,2.071572,64115.800377
400,216.039001,train,2.030991,64085.968303
400,219.414399,val,2.059583,
420,230.196800,train,2.028533,46289.681806
440,240.422457,train,2.049971,64089.766586
460,250.650911,train,1.979423,64072.243250
480,260.864979,train,2.015612,64162.486887
500,271.078665,train,2.009731,64164.890773
520,281.292163,train,1.958327,64166.065073
540,291.507439,train,1.978055,64154.895984
560,301.715578,train,1.953792,64199.754626
580,311.923620,train,1.986050,64200.366400
600,322.129407,train,1.971486,64214.546935
600,325.510366,val,1.927782,
620,336.755270,train,1.936568,44808.293677
640,346.946515,train,1.914822,64306.177533
660,357.143177,train,1.945933,64272.015547
680,367.339403,train,1.897471,64274.762801
700,377.535496,train,1.907983,64275.599948
720,387.727138,train,1.897452,64303.669783
740,397.920520,train,1.913963,64292.696353
760,408.112767,train,1.889587,64299.856633
780,418.303674,train,1.826705,64308.309349
800,428.495775,train,1.844813,64300.774154
800,431.873505,val,1.846880,
820,442.650165,train,1.873061,46300.829320
840,452.840195,train,1.850552,64313.846413
860,463.028442,train,1.829305,64325.095006
880,473.221997,train,1.800614,64291.603126
900,483.414028,train,1.869591,64301.222395
920,493.609625,train,1.801376,64278.727796
940,503.803781,train,1.793412,64287.810953
960,513.998316,train,1.784659,64285.426413
980,524.190875,train,1.813635,64297.884802
1000,534.383500,train,1.791456,64297.466688
1000,537.761703,val,1.799078,
1020,548.539681,train,1.819408,46294.972249
1040,558.732043,train,1.809709,64299.130155
1060,568.925234,train,1.787345,64293.902405
1080,579.116149,train,1.882884,64308.255187
1100,589.306576,train,1.781200,64311.342579
1120,599.496170,train,1.768187,64316.591225
1140,609.688567,train,1.757589,64298.907552
1160,619.882650,train,1.777247,64288.278560
1180,630.071063,train,1.822903,64324.050349
1200,640.261874,train,1.806597,64308.911158
1200,643.641354,val,1.760167,
1220,654.414062,train,1.752417,46308.033577
1240,664.605175,train,1.726564,64307.015499
1260,674.793635,train,1.795126,64323.749302
1280,684.980394,train,1.733435,64334.498440
1300,695.168006,train,1.748622,64329.106862
1320,705.359585,train,1.705826,64304.071431
1340,715.546323,train,1.761374,64334.626428
1360,725.733562,train,1.730749,64331.464531
1380,735.920196,train,1.695621,64335.284442
1400,746.108094,train,1.740062,64327.303346
1400,749.486238,val,1.713743,
1420,760.261885,train,1.679443,46302.787727
1440,770.449075,train,1.680513,64331.774684
1460,780.634933,train,1.749598,64340.186097
1480,790.819990,train,1.716712,64345.249665
1500,801.007683,train,1.737554,64328.595002
1520,811.195279,train,1.711537,64329.212245
1540,821.382663,train,1.746846,64330.546133
1560,831.569485,train,1.698557,64334.094906
1580,841.756028,train,1.690350,64335.862663
1600,851.939989,train,1.686837,64352.170060
1600,855.315587,val,1.708658,
1620,866.085461,train,1.727646,46330.019790
1640,876.268249,train,1.654756,64359.583191
1660,886.453859,train,1.718505,64341.752374
1680,896.641086,train,1.591346,64331.539811
1700,906.826680,train,1.673507,64341.856294
1720,917.012047,train,1.691121,64343.288605
1740,927.196278,train,1.693830,64350.464678
1760,937.381575,train,1.702769,64343.726896
1780,947.567003,train,1.707830,64342.904541
1800,957.749663,train,1.681327,64360.393917
1800,961.125543,val,1.663026,
1820,971.899330,train,1.664230,46316.283473
1840,982.084207,train,1.670159,64346.382375
1860,992.271791,train,1.698397,64329.287520
1880,1002.457094,train,1.657304,64343.690748
1900,1012.643817,train,1.681293,64334.722795
1920,1022.830535,train,1.599564,64334.757427
1940,1033.016850,train,1.703731,64337.296214
1960,1043.202466,train,1.699280,64341.716229
1980,1053.390615,train,1.653140,64325.715192
2000,1063.576669,train,1.621033,64338.948189
2000,1066.952660,val,1.659459,
2020,1077.725646,train,1.671786,46318.542895
2040,1087.909040,train,1.666179,64355.754366
2060,1098.092725,train,1.638980,64353.916211
2080,1108.275266,train,1.660984,64361.145892
2100,1118.457716,train,1.663155,64361.723071
2120,1128.641369,train,1.617682,64354.116595
2140,1138.823744,train,1.625634,64362.193261
2160,1149.004417,train,1.632876,64372.953745
2180,1159.186617,train,1.644214,64363.302454
2200,1169.368222,train,1.628014,64367.059828
2200,1172.743000,val,1.631798,
2220,1183.518606,train,1.646932,46313.937653
2240,1193.702922,train,1.611553,64349.929882
2260,1203.882880,train,1.673427,64377.476664
2280,1214.062057,train,1.654522,64382.416417
2300,1224.243796,train,1.682025,64366.211253
2320,1234.426053,train,1.602161,64362.940756
2340,1244.609079,train,1.601288,64358.077825
2360,1254.790604,train,1.634452,64367.569285
2380,1264.973066,train,1.602527,64361.647720
2400,1275.156086,train,1.615486,64358.117003
2400,1278.531061,val,1.620472,
2420,1289.307005,train,1.603405,46312.185077
2440,1299.486469,train,1.606337,64380.600864
2460,1309.667037,train,1.562650,64373.615559
2480,1319.849517,train,1.665376,64361.536202
2500,1330.031389,train,1.603848,64365.373250
2520,1340.213856,train,1.606224,64361.610045
2540,1350.395509,train,1.609676,64366.758378
2560,1360.578022,train,1.631758,64361.322209
2580,1370.760207,train,1.622595,64363.394386
2600,1380.940470,train,1.578700,64375.552838
2600,1384.314473,val,1.612214,
2620,1395.089689,train,1.623704,46317.748365
2640,1405.269384,train,1.597570,64379.142766
2660,1415.451429,train,1.610380,64364.277550
2680,1425.633686,train,1.605943,64362.940756
2700,1435.814312,train,1.663356,64373.252238
2720,1445.993917,train,1.602260,64379.705189
2740,1456.173045,train,1.607310,64382.725554
2760,1466.353920,train,1.652622,64371.678397
2780,1476.534271,train,1.667307,64374.988980
2800,1486.716609,train,1.598446,64362.428358
2800,1490.091353,val,1.589320,
2820,1500.871468,train,1.584969,46299.298432
2840,1511.050068,train,1.628819,64386.059896
2860,1521.228588,train,1.579734,64386.575687
2880,1531.405860,train,1.593232,64394.464392
2900,1541.585411,train,1.579537,64380.051996
2920,1551.764320,train,1.567997,64384.105396
2940,1561.942855,train,1.605039,64386.476147
2960,1572.123023,train,1.540954,64376.152890
2980,1582.303259,train,1.624466,64375.715665
3000,1592.483306,train,1.583493,64376.914280
3000,1595.856272,val,1.585440,
3020,1606.630955,train,1.622091,46322.890658
